name	molpdf	DOPE score	Normalized DOPE score
RXRB_2.B99990049.pdb	7565.8774	-76203.91406	0.30041
RXRB_2.B99990028.pdb	7594.5547	-76195.90625	0.30109
RXRB_2.B99990064.pdb	7358.8428	-76040.79688	0.31418
RXRB_2.B99990035.pdb	7572.5107	-75993.45312	0.31818
RXRB_2.B99990044.pdb	7502.7949	-75967.85938	0.32034
RXRB_2.B99990052.pdb	7523.7002	-75847.51562	0.3305
RXRB_2.B99990006.pdb	7520.5723	-75831.27344	0.33187
RXRB_2.B99990055.pdb	7317.4575	-75813.42969	0.33337
RXRB_2.B99990060.pdb	7403.7256	-75777.01562	0.33645
RXRB_2.B99990010.pdb	7662.6133	-75740.83594	0.3395
RXRB_2.B99990091.pdb	7308.3145	-75729.4375	0.34046
RXRB_2.B99990027.pdb	7546.9126	-75728.42969	0.34055
RXRB_2.B99990042.pdb	7384.1479	-75723.83594	0.34094
RXRB_2.B99990013.pdb	7390.8672	-75682.79688	0.3444
RXRB_2.B99990045.pdb	8180.9658	-75638.96875	0.3481
RXRB_2.B99990003.pdb	7339.1797	-75617.67969	0.3499
RXRB_2.B99990026.pdb	7342.7847	-75610.375	0.35051
RXRB_2.B99990081.pdb	7615.9072	-75592.38281	0.35203
RXRB_2.B99990056.pdb	7527.79	-75578.4375	0.35321
RXRB_2.B99990023.pdb	7576.9639	-75536.50781	0.35675
RXRB_2.B99990040.pdb	7704.3022	-75513.21875	0.35871
RXRB_2.B99990033.pdb	7381.4009	-75507.97656	0.35916
RXRB_2.B99990099.pdb	7270.9932	-75506.23438	0.3593
RXRB_2.B99990082.pdb	7422.7461	-75505.74219	0.35935
RXRB_2.B99990077.pdb	7849.8657	-75501.30469	0.35972
RXRB_2.B99990057.pdb	8021.9111	-75488.82812	0.36077
RXRB_2.B99990073.pdb	7344.4248	-75485.09375	0.36109
RXRB_2.B99990034.pdb	7335.9175	-75482.14062	0.36134
RXRB_2.B99990090.pdb	7524.1924	-75476.41406	0.36182
RXRB_2.B99990017.pdb	7613.5615	-75431.0	0.36566
RXRB_2.B99990036.pdb	7577.2295	-75399.01562	0.36835
RXRB_2.B99990007.pdb	7606.7534	-75378.5625	0.37008
RXRB_2.B99990074.pdb	8171.3896	-75365.22656	0.37121
RXRB_2.B99990031.pdb	7381.9766	-75336.96875	0.37359
RXRB_2.B99990025.pdb	7364.7222	-75316.54688	0.37532
RXRB_2.B99990089.pdb	7631.709	-75288.45312	0.37769
RXRB_2.B99990094.pdb	7977.6104	-75287.91406	0.37773
RXRB_2.B99990022.pdb	7844.2344	-75284.85938	0.37799
RXRB_2.B99990043.pdb	8160.2437	-75267.28906	0.37947
RXRB_2.B99990085.pdb	7787.021	-75256.90625	0.38035
RXRB_2.B99990066.pdb	7397.0381	-75245.40625	0.38132
RXRB_2.B99990062.pdb	8012.29	-75243.55469	0.38148
RXRB_2.B99990032.pdb	7417.0229	-75237.36719	0.382
RXRB_2.B99990067.pdb	7361.2969	-75226.13281	0.38295
RXRB_2.B99990030.pdb	7293.2734	-75221.13281	0.38337
RXRB_2.B99990092.pdb	7401.5601	-75196.33594	0.38546
