name	molpdf	DOPE score	Normalized DOPE score
E2F6_1.B99990047.pdb	2707.1555	-57909.04297	-0.12718
E2F6_1.B99990023.pdb	2823.8687	-57631.25	-0.09585
E2F6_1.B99990091.pdb	2726.7461	-57458.25391	-0.07634
E2F6_1.B99990100.pdb	2739.8633	-57381.67969	-0.06771
E2F6_1.B99990048.pdb	2705.3389	-57285.15625	-0.05682
E2F6_1.B99990069.pdb	2763.1423	-57248.90234	-0.05273
E2F6_1.B99990050.pdb	2756.7922	-57244.30469	-0.05221
E2F6_1.B99990029.pdb	2752.708	-57208.45312	-0.04817
E2F6_1.B99990079.pdb	2795.7766	-57199.36719	-0.04715
E2F6_1.B99990036.pdb	2823.936	-57199.24219	-0.04713
E2F6_1.B99990044.pdb	2797.0754	-57163.89062	-0.04315
E2F6_1.B99990096.pdb	2795.9097	-57140.13281	-0.04047
E2F6_1.B99990012.pdb	2753.0972	-57119.81641	-0.03818
E2F6_1.B99990080.pdb	2854.7375	-57102.05078	-0.03617
E2F6_1.B99990005.pdb	2661.7227	-57100.89062	-0.03604
E2F6_1.B99990085.pdb	2774.645	-57096.69922	-0.03557
E2F6_1.B99990068.pdb	2884.7549	-57072.78516	-0.03287
E2F6_1.B99990046.pdb	2787.8376	-57072.04297	-0.03279
E2F6_1.B99990054.pdb	2772.2092	-57051.30078	-0.03045
E2F6_1.B99990003.pdb	2787.7773	-57022.29297	-0.02718
E2F6_1.B99990007.pdb	2748.9492	-57016.82031	-0.02656
E2F6_1.B99990088.pdb	2755.4739	-56995.29688	-0.02413
E2F6_1.B99990092.pdb	2890.2708	-56983.57422	-0.02281
E2F6_1.B99990089.pdb	2774.3103	-56978.14062	-0.0222
E2F6_1.B99990013.pdb	3061.8523	-56964.9375	-0.02071
E2F6_1.B99990014.pdb	2784.5359	-56947.81641	-0.01878
E2F6_1.B99990053.pdb	2828.7168	-56936.35938	-0.01749
E2F6_1.B99990064.pdb	2767.3628	-56927.58984	-0.0165
E2F6_1.B99990027.pdb	3319.9734	-56925.75391	-0.01629
E2F6_1.B99990008.pdb	2743.5496	-56922.67578	-0.01594
E2F6_1.B99990040.pdb	2962.0056	-56863.36719	-0.00926
E2F6_1.B99990062.pdb	2702.5215	-56858.6875	-0.00873
E2F6_1.B99990059.pdb	2754.7727	-56845.74609	-0.00727
E2F6_1.B99990035.pdb	2726.0227	-56825.97656	-0.00504
E2F6_1.B99990083.pdb	2727.3174	-56821.51953	-0.00454
E2F6_1.B99990045.pdb	3099.9368	-56798.85156	-0.00198
E2F6_1.B99990095.pdb	2875.8506	-56772.69922	0.00097
E2F6_1.B99990058.pdb	2867.0271	-56764.51953	0.00189
E2F6_1.B99990086.pdb	2869.8645	-56740.81641	0.00457
E2F6_1.B99990077.pdb	2764.3606	-56733.58594	0.00538
E2F6_1.B99990056.pdb	3060.4937	-56726.92188	0.00613
E2F6_1.B99990010.pdb	2978.5422	-56721.19141	0.00678
E2F6_1.B99990043.pdb	2953.7192	-56719.41016	0.00698
E2F6_1.B99990087.pdb	3142.5452	-56715.55859	0.00741
E2F6_1.B99990002.pdb	2976.908	-56698.24609	0.00937
E2F6_1.B99990075.pdb	3004.7073	-56676.44531	0.01182
E2F6_1.B99990020.pdb	3016.4028	-56661.92578	0.01346
E2F6_1.B99990074.pdb	2694.2068	-56649.42578	0.01487
E2F6_1.B99990051.pdb	2927.4155	-56648.61719	0.01496
E2F6_1.B99990033.pdb	2962.77	-56603.85156	0.02001
E2F6_1.B99990022.pdb	3093.3672	-56598.61328	0.0206
E2F6_1.B99990032.pdb	2696.2229	-56596.04688	0.02089
E2F6_1.B99990019.pdb	3100.4094	-56591.30859	0.02143
E2F6_1.B99990065.pdb	3056.9861	-56574.34375	0.02334
E2F6_1.B99990084.pdb	3062.2124	-56568.625	0.02398
E2F6_1.B99990025.pdb	2897.342	-56559.66406	0.02499
E2F6_1.B99990028.pdb	2687.4558	-56532.30859	0.02808
E2F6_1.B99990072.pdb	2937.7131	-56527.90625	0.02858
E2F6_1.B99990090.pdb	2897.6594	-56524.9375	0.02891
E2F6_1.B99990049.pdb	2766.2915	-56523.81641	0.02904
E2F6_1.B99990021.pdb	3044.521	-56507.125	0.03092
E2F6_1.B99990081.pdb	2937.4338	-56496.32812	0.03214
E2F6_1.B99990038.pdb	2693.6111	-56492.01562	0.03262
E2F6_1.B99990098.pdb	2966.8916	-56486.6875	0.03322
E2F6_1.B99990024.pdb	3124.7798	-56468.08203	0.03532
E2F6_1.B99990004.pdb	2682.2683	-56461.69531	0.03604
E2F6_1.B99990094.pdb	2956.3257	-56454.90625	0.03681
E2F6_1.B99990052.pdb	2739.47	-56431.42578	0.03946
E2F6_1.B99990030.pdb	3026.585	-56422.84375	0.04042
E2F6_1.B99990076.pdb	3041.3826	-56419.875	0.04076
E2F6_1.B99990067.pdb	2781.3301	-56415.72266	0.04123
E2F6_1.B99990016.pdb	2856.3767	-56403.53906	0.0426
E2F6_1.B99990093.pdb	2969.9285	-56402.47656	0.04272
E2F6_1.B99990009.pdb	2985.0359	-56386.39844	0.04453
E2F6_1.B99990037.pdb	2968.072	-56362.26953	0.04726
E2F6_1.B99990017.pdb	3011.3118	-56355.45703	0.04802
E2F6_1.B99990011.pdb	2951.5447	-56318.69531	0.05217
E2F6_1.B99990006.pdb	2929.5847	-56305.19141	0.05369
E2F6_1.B99990057.pdb	2916.8411	-56288.70703	0.05555
E2F6_1.B99990070.pdb	3056.5046	-56284.08594	0.05607
E2F6_1.B99990061.pdb	2812.8586	-56268.83594	0.05779
E2F6_1.B99990066.pdb	2798.8989	-56266.25391	0.05808
E2F6_1.B99990001.pdb	3035.5386	-56259.65625	0.05883
