name	molpdf	DOPE score	Normalized DOPE score
UCK1_5.B99990032.pdb	3936.8618	-47712.70312	-0.94652
UCK1_5.B99990081.pdb	3911.2053	-47699.61719	-0.94433
UCK1_5.B99990053.pdb	3933.415	-47655.09766	-0.93686
UCK1_5.B99990063.pdb	3975.054	-47643.78906	-0.93496
UCK1_5.B99990052.pdb	3858.3403	-47635.81641	-0.93362
UCK1_5.B99990050.pdb	4011.3101	-47623.15234	-0.9315
UCK1_5.B99990018.pdb	3944.918	-47602.89062	-0.9281
UCK1_5.B99990002.pdb	3861.8811	-47567.17188	-0.9221
UCK1_5.B99990009.pdb	3987.6465	-47564.09766	-0.92159
UCK1_5.B99990016.pdb	3934.4253	-47563.76562	-0.92153
UCK1_5.B99990035.pdb	4022.2603	-47549.38281	-0.91912
UCK1_5.B99990023.pdb	3852.187	-47541.91406	-0.91786
UCK1_5.B99990007.pdb	3995.927	-47522.85938	-0.91466
UCK1_5.B99990064.pdb	3914.9983	-47512.60938	-0.91294
UCK1_5.B99990090.pdb	4027.5745	-47510.39062	-0.91257
UCK1_5.B99990095.pdb	3916.2227	-47506.14062	-0.91186
UCK1_5.B99990010.pdb	3964.1433	-47504.12891	-0.91152
UCK1_5.B99990015.pdb	3958.2676	-47504.11328	-0.91152
UCK1_5.B99990031.pdb	3882.1567	-47498.84766	-0.91063
UCK1_5.B99990027.pdb	3914.3293	-47498.44922	-0.91057
UCK1_5.B99990054.pdb	3985.8252	-47479.01562	-0.90731
UCK1_5.B99990074.pdb	3886.4238	-47474.125	-0.90649
UCK1_5.B99990008.pdb	4003.6719	-47467.32422	-0.90534
UCK1_5.B99990005.pdb	3925.7134	-47450.74609	-0.90256
UCK1_5.B99990083.pdb	3922.7341	-47449.6875	-0.90238
UCK1_5.B99990067.pdb	3971.1897	-47427.71094	-0.8987
UCK1_5.B99990060.pdb	4356.04	-47415.73828	-0.89669
UCK1_5.B99990099.pdb	4027.8992	-47415.29688	-0.89661
UCK1_5.B99990065.pdb	3950.2615	-47405.10938	-0.8949
UCK1_5.B99990006.pdb	4083.7202	-47397.20312	-0.89358
UCK1_5.B99990028.pdb	3947.572	-47386.67578	-0.89181
UCK1_5.B99990094.pdb	3961.4399	-47375.26172	-0.88989
UCK1_5.B99990057.pdb	3913.9326	-47316.07812	-0.87996
UCK1_5.B99990019.pdb	3966.405	-47305.46094	-0.87818
UCK1_5.B99990051.pdb	3961.7168	-47304.34766	-0.87799
UCK1_5.B99990085.pdb	4280.9653	-47264.74609	-0.87135
UCK1_5.B99990017.pdb	4526.1235	-47257.76562	-0.87018
UCK1_5.B99990079.pdb	4059.4148	-47243.27344	-0.86774
UCK1_5.B99990022.pdb	4071.9963	-47211.72656	-0.86245
UCK1_5.B99990075.pdb	4413.436	-47189.5	-0.85872
UCK1_5.B99990089.pdb	4118.6006	-47162.10547	-0.85412
UCK1_5.B99990088.pdb	4066.6555	-47161.875	-0.85408
UCK1_5.B99990013.pdb	4798.4302	-47148.54297	-0.85185
UCK1_5.B99990036.pdb	4412.9395	-47144.22266	-0.85112
UCK1_5.B99990100.pdb	4079.6714	-47143.65625	-0.85103
UCK1_5.B99990073.pdb	4297.8027	-47125.91016	-0.84805
UCK1_5.B99990056.pdb	4728.5952	-47119.97266	-0.84705
UCK1_5.B99990004.pdb	4666.8608	-47104.875	-0.84452
UCK1_5.B99990001.pdb	4326.0356	-47103.95312	-0.84436
UCK1_5.B99990011.pdb	4376.0557	-47100.44922	-0.84377
UCK1_5.B99990043.pdb	5243.9971	-47093.55078	-0.84262
UCK1_5.B99990068.pdb	4815.8145	-47029.90625	-0.83194
UCK1_5.B99990071.pdb	4197.6235	-47007.86719	-0.82824
UCK1_5.B99990034.pdb	4397.7905	-47002.3125	-0.8273
UCK1_5.B99990058.pdb	4514.5181	-46996.13672	-0.82627
UCK1_5.B99990026.pdb	4351.0352	-46991.0625	-0.82542
UCK1_5.B99990070.pdb	4462.9468	-46968.30469	-0.8216
UCK1_5.B99990059.pdb	4452.1738	-46951.21484	-0.81873
UCK1_5.B99990097.pdb	4186.418	-46949.85938	-0.8185
UCK1_5.B99990078.pdb	4381.6724	-46938.14453	-0.81654
UCK1_5.B99990049.pdb	4387.7046	-46925.125	-0.81435
UCK1_5.B99990048.pdb	4534.4683	-46921.5625	-0.81375
UCK1_5.B99990037.pdb	4653.165	-46917.47266	-0.81307
UCK1_5.B99990040.pdb	4331.8291	-46906.60547	-0.81124
UCK1_5.B99990038.pdb	4498.2021	-46889.64844	-0.8084
UCK1_5.B99990039.pdb	4369.4028	-46883.82812	-0.80742
UCK1_5.B99990012.pdb	4338.187	-46882.57422	-0.80721
UCK1_5.B99990066.pdb	4338.0479	-46855.61328	-0.80268
UCK1_5.B99990029.pdb	4340.4414	-46826.73047	-0.79784
UCK1_5.B99990072.pdb	4395.7314	-46773.15234	-0.78885
UCK1_5.B99990045.pdb	4660.9458	-46771.88672	-0.78863
UCK1_5.B99990076.pdb	4852.3438	-46768.25391	-0.78802
UCK1_5.B99990003.pdb	4514.4189	-46766.20312	-0.78768
UCK1_5.B99990087.pdb	4407.4438	-46761.35547	-0.78687
UCK1_5.B99990024.pdb	5071.5859	-46760.21875	-0.78668
UCK1_5.B99990020.pdb	4974.3213	-46749.05078	-0.7848
UCK1_5.B99990092.pdb	4366.9692	-46738.39844	-0.78301
UCK1_5.B99990042.pdb	4374.333	-46728.48047	-0.78135
UCK1_5.B99990093.pdb	4360.2583	-46724.79297	-0.78073
UCK1_5.B99990080.pdb	4903.4424	-46720.04297	-0.77993
UCK1_5.B99990014.pdb	4421.9492	-46702.70312	-0.77702
UCK1_5.B99990047.pdb	4772.1362	-46699.60156	-0.7765
UCK1_5.B99990091.pdb	4654.6904	-46694.98438	-0.77573
UCK1_5.B99990030.pdb	4438.3345	-46676.51172	-0.77263
UCK1_5.B99990021.pdb	4559.8276	-46672.0	-0.77187
UCK1_5.B99990025.pdb	4943.9849	-46667.33594	-0.77109
UCK1_5.B99990098.pdb	4976.1641	-46624.98438	-0.76398
UCK1_5.B99990082.pdb	4359.9185	-46614.37891	-0.7622
UCK1_5.B99990086.pdb	4559.0029	-46613.08984	-0.76198
UCK1_5.B99990044.pdb	4427.1118	-46611.23047	-0.76167
UCK1_5.B99990041.pdb	4461.1641	-46544.36328	-0.75045
UCK1_5.B99990069.pdb	4647.1885	-46524.06641	-0.74704
UCK1_5.B99990077.pdb	4519.7974	-46515.73828	-0.74565
UCK1_5.B99990096.pdb	4515.2031	-46486.91406	-0.74081
UCK1_5.B99990033.pdb	4861.3569	-46449.48438	-0.73453
UCK1_5.B99990061.pdb	4572.1958	-46438.92969	-0.73276
UCK1_5.B99990084.pdb	4414.3872	-46423.72266	-0.7302
UCK1_5.B99990046.pdb	4967.5742	-46413.99219	-0.72857
UCK1_5.B99990062.pdb	4472.9355	-46359.88281	-0.71949
UCK1_5.B99990055.pdb	5055.3896	-46188.98438	-0.69081
