Iso_ID	Inter_ID	Interaction_Found	Source	Model_Job	Base_Tpl	Tpl_Iso_Chain	Model_Iso_Chain	Tpl_Inter_Chain	Model_Inter_Chain	Model_Name	molpdf	DOPE_Score	Normalized_DOPE_Score
BCL2L1_1	BAD	positive	StructMAn	BCL2L1_1__Q07817_S0__Q92934_S0__AF1_A__partner_B	Q07817_S0__Q92934_S0__AF1	A	A	B	B	BCL2L1_1.B99990017.pdb	1110.7205	-30570.08008	-1.32489
BCL2L1_2	BAD	negative	StructMAn	BCL2L1_2__Q07817_S0__Q92934_S0__AF1_A__partner_B	Q07817_S0__Q92934_S0__AF1	A	A	B	B	BCL2L1_2.B99990096.pdb	1464.9026	-16655.37891	0.25146
BCL2L1_3	BAD	negative	StructMAn	BCL2L1_3__Q07817_S0__Q92934_S0__AF1_A__partner_B	Q07817_S0__Q92934_S0__AF1	A	A	B	B	BCL2L1_3.B99990009.pdb	1924.894	-15945.10742	-0.38859
BCL2L1_1	BMF	positive	StructMAn	BCL2L1_1__Q07817_S0__Q96LC9_S0__AFMM1_A__partner_B	Q07817_S0__Q96LC9_S0__AFMM1	A	A	B	B	BCL2L1_1.B99990080.pdb	1515.7764	-33387.44141	-0.47572
BCL2L1_2	BMF	negative	StructMAn	BCL2L1_2__Q07817_S0__Q96LC9_S0__AFMM1_A__partner_B	Q07817_S0__Q96LC9_S0__AFMM1	A	A	B	B	BCL2L1_2.B99990026.pdb	1846.7875	-19446.64062	0.97337
BCL2L1_3	BMF	positive	StructMAn	BCL2L1_3__Q07817_S0__Q96LC9_S0__AFMM1_A__partner_B	Q07817_S0__Q96LC9_S0__AFMM1	A	A	B	B	BCL2L1_3.B99990019.pdb	2442.3496	-18648.96484	0.54112
COG7_1	COG5	negative	StructMAn	COG7_1__P83436_S1__Q9UP83_S0__AF_A__partner_B	P83436_S1__Q9UP83_S0__AF	A	A	B	B	COG7_1.B99990081.pdb	5046.0122	-126538.32812	1.97681
COG7_3	COG5	positive	StructMAn	COG7_3__P83436_S1__Q9UP83_S0__AF_A__partner_B	P83436_S1__Q9UP83_S0__AF	A	A	B	B	COG7_3.B99990035.pdb	2914.8892	-106232.58594	-0.38653
E2F6_1	TFDP1	positive	StructMAn	E2F6_1__Q01094_S0__Q14186_S0__AFMM1_A__partner_B	Q01094_S0__Q14186_S0__AFMM1	A	A	B	B	E2F6_1.B99990047.pdb	2707.1555	-57909.04297	-0.12718
E2F6_3	TFDP1	negative	StructMAn	E2F6_3__Q01094_S0__Q14186_S0__AFMM1_A__partner_B	Q01094_S0__Q14186_S0__AFMM1	A	A	B	B	E2F6_3.B99990050.pdb	2754.8999	-56215.6875	-0.34162
E2F6_1	TFDP2	positive	StructMAn	E2F6_1__Q01094_S0__Q14186_S0__AFMM1_A__partner_B	Q01094_S0__Q14186_S0__AFMM1	A	A	B	B	E2F6_1.B99990047.pdb	2707.1555	-57909.04297	-0.12718
E2F6_3	TFDP2	negative	StructMAn	E2F6_3__Q01094_S0__Q14186_S0__AFMM1_A__partner_B	Q01094_S0__Q14186_S0__AFMM1	A	A	B	B	E2F6_3.B99990050.pdb	2754.8999	-56215.6875	-0.34162
GNMT_1	GNMT	positive	StructMAn	GNMT_1__3THS_B__partner_A	3THS	B	A	A	B	GNMT_1.B99990049.pdb	2463.7878	-69931.05469	-1.21264
GNMT_3	GNMT	positive	StructMAn	GNMT_3__3THS_B__partner_A	3THS	B	A	A	B	GNMT_3.B99990026.pdb	4393.2183	-65490.05469	-0.93647
GNMT_4	GNMT	negative	StructMAn	GNMT_4__3THS_B__partner_A	3THS	B	A	A	B	GNMT_4.B99990067.pdb	2039.5229	-49914.35938	-0.92626
MVK_1	MVK	positive	MMseqs2	MVK_1__2R3V_A__partner_B	2R3V	A	A	B	B	MVK_1.B99990076.pdb	3859.2026	-94194.25	-1.17729
MVK_2	MVK	negative	MMseqs2	MVK_2__2R3V_A__partner_B	2R3V	A	A	B	B	MVK_2.B99990065.pdb	4197.7969	-84138.96875	-0.84485
MVK_1	MVK	positive	MMseqs2	MVK_1__2R3V_B__partner_A	2R3V	B	A	A	B	MVK_1.B99990054.pdb	3846.7141	-94221.625	-1.13925
MVK_2	MVK	negative	MMseqs2	MVK_2__2R3V_B__partner_A	2R3V	B	A	A	B	MVK_2.B99990036.pdb	4002.0659	-84336.48438	-0.82144
MVK_1	MVK	positive	StructMAn	MVK_1__4HAC_A__partner_B	4HAC	A	A	B	B	MVK_1.B99990021.pdb	4198.0386	-75324.5	-0.3286
MVK_2	MVK	negative	StructMAn	MVK_2__4HAC_A__partner_B	4HAC	A	A	B	B	MVK_2.B99990096.pdb	4099.6284	-71946.71094	-0.61299
MVK_1	MVK	positive	StructMAn	MVK_1__4HAC_B__partner_A	4HAC	B	A	A	B	MVK_1.B99990049.pdb	4107.5967	-75336.0625	-0.30848
MVK_2	MVK	negative	StructMAn	MVK_2__4HAC_B__partner_A	4HAC	B	A	A	B	MVK_2.B99990060.pdb	4058.2549	-71239.28125	-0.51192
NPM1_1	NPM2	positive	StructMAn	NPM1_1__P06748_S0__Q86SE8_S0__AFMM1_B__partner_A	P06748_S0__Q86SE8_S0__AFMM1	B	A	A	B	NPM1_1.B99990030.pdb	2739.0327	-31814.63281	0.95977
NPM1_2	NPM2	negative	StructMAn	NPM1_2__P06748_S0__Q86SE8_S0__AFMM1_B__partner_A	P06748_S0__Q86SE8_S0__AFMM1	B	A	A	B	NPM1_2.B99990003.pdb	2674.6648	-32966.42969	0.92773
PPP3CA_1	PPP3R1	positive	MMseqs2	PPP3CA_1__4OR9_A__partner_B	4OR9	A	A	B	B	PPP3CA_1.B99990028.pdb	5599.0723	-77198.64844	-0.84591
PPP3CA_2	PPP3R1	negative	MMseqs2	PPP3CA_2__4OR9_A__partner_B	4OR9	A	A	B	B	PPP3CA_2.B99990004.pdb	5599.7251	-77325.17969	-0.74778
PPP3CA_1	PPP3R1	positive	StructMAn	PPP3CA_1__4ORC_A__partner_B	4ORC	A	A	B	B	PPP3CA_1.B99990072.pdb	2903.981	-75198.80469	-0.6367
PPP3CA_2	PPP3R1	negative	StructMAn	PPP3CA_2__4ORC_A__partner_B	4ORC	A	A	B	B	PPP3CA_2.B99990077.pdb	2789.3054	-76256.32812	-0.63759
RXRB_1	NR1H3	positive	MMseqs2	RXRB_1__4NQA_A__partner_B	4NQA	A	A	B	B	RXRB_1.B99990099.pdb	3548.1509	-81876.38281	0.08679
RXRB_2	NR1H3	positive	MMseqs2	RXRB_2__4NQA_A__partner_B	4NQA	A	A	B	B	RXRB_2.B99990096.pdb	4038.8169	-81475.28125	0.1464
RXRB_4	NR1H3	negative	MMseqs2	RXRB_4__4NQA_A__partner_B	4NQA	A	A	B	B	RXRB_4.B99990011.pdb	3748.5356	-81776.96094	0.07784
RXRB_1	RARA_ORF1	positive	MMseqs2	RXRB_1__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_1.B99990023.pdb	4359.3003	-78254.15625	0.00755
RXRB_2	RARA_ORF1	positive	MMseqs2	RXRB_2__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_2.B99990073.pdb	4360.2192	-78573.60938	0.01144
RXRB_4	RARA_ORF1	negative	MMseqs2	RXRB_4__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_4.B99990057.pdb	4688.9497	-79168.40625	-0.09719
RXRB_1	RARA_ORF2	positive	MMseqs2	RXRB_1__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_1.B99990023.pdb	4359.3003	-78254.15625	0.00755
RXRB_4	RARA_ORF2	negative	MMseqs2	RXRB_4__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_4.B99990057.pdb	4688.9497	-79168.40625	-0.09719
RXRB_1	RARB	positive	StructMAn	RXRB_1__4IQR_B__partner_A	4IQR	B	A	A	B	RXRB_1.B99990048.pdb	7454.7124	-75591.99219	0.32268
RXRB_2	RARB	positive	StructMAn	RXRB_2__4IQR_B__partner_A	4IQR	B	A	A	B	RXRB_2.B99990049.pdb	7565.8774	-76203.91406	0.30041
RXRB_3	RARB	negative	StructMAn	RXRB_3__4IQR_B__partner_A	4IQR	B	A	A	B	RXRB_3.B99990037.pdb	6685.7148	-70648.27344	0.48973
RXRB_1	RARB	positive	MMseqs2	RXRB_1__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_1.B99990023.pdb	4359.3003	-78254.15625	0.00755
RXRB_2	RARB	positive	MMseqs2	RXRB_2__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_2.B99990073.pdb	4360.2192	-78573.60938	0.01144
RXRB_3	RARB	negative	MMseqs2	RXRB_3__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_3.B99990050.pdb	4797.8359	-72677.10156	0.21868
RXRB_4	RARB	negative	MMseqs2	RXRB_4__5UAN_A__partner_B	5UAN	A	A	B	B	RXRB_4.B99990057.pdb	4688.9497	-79168.40625	-0.09719
UCK1_3	UCK1	negative	StructMAn	UCK1_3__6PWZ_H__partner_B	6PWZ	H	A	B	B	UCK1_3.B99990074.pdb	1779.0887	-52762.08594	-1.14831
UCK1_5	UCK1	positive	StructMAn	UCK1_5__6PWZ_H__partner_B	6PWZ	H	A	B	B	UCK1_5.B99990098.pdb	2010.649	-47634.17969	-0.89878
UCK1_1	UCK1	negative	MMseqs2	UCK1_1__9SGF_A__partner_B	9SGF	A	A	B	B	UCK1_1.B99990100.pdb	1809.2424	-45874.26953	-0.96343
