name	molpdf	DOPE score	Normalized DOPE score
UCK1_5.B99990048.pdb	3900.4487	-47763.6875	-0.95508
UCK1_5.B99990019.pdb	3916.4351	-47672.8125	-0.93983
UCK1_5.B99990056.pdb	3960.7095	-47670.17578	-0.93939
UCK1_5.B99990041.pdb	3956.5842	-47647.42578	-0.93557
UCK1_5.B99990069.pdb	3941.0286	-47644.91406	-0.93515
UCK1_5.B99990070.pdb	3828.3247	-47604.58203	-0.92838
UCK1_5.B99990071.pdb	3935.4373	-47586.91797	-0.92541
UCK1_5.B99990047.pdb	3935.02	-47569.78906	-0.92254
UCK1_5.B99990082.pdb	3951.1418	-47568.71094	-0.92236
UCK1_5.B99990036.pdb	3905.4558	-47550.09766	-0.91924
UCK1_5.B99990015.pdb	3944.1321	-47546.29297	-0.9186
UCK1_5.B99990099.pdb	4001.6917	-47545.45703	-0.91846
UCK1_5.B99990008.pdb	3939.0298	-47537.4375	-0.91711
UCK1_5.B99990037.pdb	3910.5681	-47531.78125	-0.91616
UCK1_5.B99990066.pdb	3889.2283	-47521.46875	-0.91443
UCK1_5.B99990060.pdb	3944.0117	-47512.78516	-0.91297
UCK1_5.B99990055.pdb	3981.9387	-47487.47656	-0.90873
UCK1_5.B99990077.pdb	3959.2407	-47424.50391	-0.89816
UCK1_5.B99990051.pdb	4031.7886	-47308.22266	-0.87864
UCK1_5.B99990074.pdb	3919.094	-47303.70703	-0.87789
UCK1_5.B99990025.pdb	3931.5706	-47301.19922	-0.87746
UCK1_5.B99990021.pdb	4052.1489	-47274.18359	-0.87293
UCK1_5.B99990063.pdb	4106.3472	-47248.32422	-0.86859
UCK1_5.B99990040.pdb	4205.3628	-47230.77344	-0.86565
UCK1_5.B99990038.pdb	4758.3975	-47214.76953	-0.86296
UCK1_5.B99990020.pdb	4161.3096	-47182.22266	-0.8575
UCK1_5.B99990081.pdb	4593.6172	-47171.52734	-0.8557
UCK1_5.B99990096.pdb	4285.9858	-47149.32422	-0.85198
UCK1_5.B99990058.pdb	4661.4473	-47141.92578	-0.85073
UCK1_5.B99990006.pdb	4354.1357	-47120.80078	-0.84719
UCK1_5.B99990100.pdb	4537.7378	-47117.63672	-0.84666
UCK1_5.B99990013.pdb	4358.4448	-47086.78906	-0.84148
UCK1_5.B99990028.pdb	4464.5171	-47075.30078	-0.83955
UCK1_5.B99990054.pdb	4034.0784	-47073.37109	-0.83923
UCK1_5.B99990079.pdb	4432.0195	-47063.46875	-0.83757
UCK1_5.B99990005.pdb	4803.52	-47060.83984	-0.83713
UCK1_5.B99990053.pdb	4334.2319	-47051.41016	-0.83554
UCK1_5.B99990078.pdb	4294.9434	-47048.0	-0.83497
UCK1_5.B99990097.pdb	4760.1353	-47020.72266	-0.83039
UCK1_5.B99990023.pdb	4240.0312	-47005.07812	-0.82777
UCK1_5.B99990003.pdb	4315.7329	-46999.03125	-0.82675
UCK1_5.B99990089.pdb	4355.291	-46965.96875	-0.8212
UCK1_5.B99990084.pdb	4480.417	-46959.03125	-0.82004
UCK1_5.B99990026.pdb	4807.8247	-46943.23047	-0.81739
UCK1_5.B99990085.pdb	4624.8232	-46935.09375	-0.81602
UCK1_5.B99990087.pdb	4757.7324	-46934.76953	-0.81597
UCK1_5.B99990052.pdb	4318.623	-46924.82031	-0.8143
UCK1_5.B99990090.pdb	5187.5615	-46918.20312	-0.81319
UCK1_5.B99990080.pdb	4471.23	-46911.80078	-0.81211
UCK1_5.B99990022.pdb	4421.0166	-46901.75391	-0.81043
UCK1_5.B99990083.pdb	4383.5674	-46894.55078	-0.80922
UCK1_5.B99990010.pdb	4427.1357	-46894.05469	-0.80914
UCK1_5.B99990012.pdb	4447.9707	-46888.67188	-0.80823
UCK1_5.B99990042.pdb	4733.9028	-46833.92188	-0.79904
UCK1_5.B99990091.pdb	4655.8789	-46833.4375	-0.79896
UCK1_5.B99990093.pdb	4315.8691	-46829.42969	-0.79829
UCK1_5.B99990095.pdb	4715.979	-46827.72656	-0.798
UCK1_5.B99990065.pdb	4887.6021	-46818.51562	-0.79646
UCK1_5.B99990076.pdb	4283.5991	-46810.50781	-0.79511
UCK1_5.B99990007.pdb	4280.2446	-46796.75391	-0.79281
UCK1_5.B99990034.pdb	4471.8394	-46795.33203	-0.79257
UCK1_5.B99990094.pdb	4254.9326	-46783.75	-0.79062
UCK1_5.B99990017.pdb	4518.0078	-46782.3125	-0.79038
UCK1_5.B99990049.pdb	4385.6812	-46779.52344	-0.78992
UCK1_5.B99990031.pdb	4297.2031	-46772.42578	-0.78872
UCK1_5.B99990002.pdb	4365.6592	-46772.08594	-0.78867
UCK1_5.B99990061.pdb	4359.4663	-46764.8125	-0.78745
