name	molpdf	DOPE score	Normalized DOPE score
COG7_1.B99990081.pdb	5046.0122	-126538.32812	1.97681
COG7_1.B99990004.pdb	4970.2842	-126386.36719	1.98376
COG7_1.B99990073.pdb	4958.856	-126384.3125	1.98385
COG7_1.B99990060.pdb	5083.0215	-126293.11719	1.98802
COG7_1.B99990001.pdb	5019.7432	-126275.125	1.98885
COG7_1.B99990007.pdb	4974.8364	-126244.66406	1.99024
COG7_1.B99990069.pdb	4994.6562	-126228.14844	1.99099
COG7_1.B99990083.pdb	5018.0142	-126226.71094	1.99106
COG7_1.B99990064.pdb	5357.689	-126214.66406	1.99161
COG7_1.B99990050.pdb	4798.7739	-126171.38281	1.99359
COG7_1.B99990077.pdb	4907.2856	-126131.77344	1.9954
COG7_1.B99990052.pdb	4872.188	-126110.41406	1.99638
COG7_1.B99990015.pdb	5161.9062	-126080.46875	1.99775
COG7_1.B99990041.pdb	4981.5601	-126057.0625	1.99882
COG7_1.B99990078.pdb	4969.1118	-126052.125	1.99904
COG7_1.B99990046.pdb	5087.1758	-126046.625	1.99929
COG7_1.B99990071.pdb	5002.4536	-126007.24219	2.00109
COG7_1.B99990067.pdb	5209.4067	-126000.36719	2.00141
COG7_1.B99990095.pdb	5472.9829	-125986.40625	2.00205
COG7_1.B99990035.pdb	4969.2271	-125913.89844	2.00536
COG7_1.B99990048.pdb	5018.084	-125859.65625	2.00784
COG7_1.B99990061.pdb	5017.3159	-125858.57812	2.00789
COG7_1.B99990014.pdb	5163.4268	-125855.875	2.00801
COG7_1.B99990040.pdb	5240.7441	-125845.05469	2.00851
COG7_1.B99990086.pdb	4976.6523	-125838.32812	2.00882
COG7_1.B99990063.pdb	5126.3115	-125805.74219	2.01031
COG7_1.B99990079.pdb	5129.2344	-125757.25781	2.01252
COG7_1.B99990045.pdb	5209.3364	-125754.60156	2.01264
COG7_1.B99990002.pdb	5695.9219	-125753.57812	2.01269
COG7_1.B99990044.pdb	4971.1782	-125748.85938	2.01291
COG7_1.B99990094.pdb	5251.6309	-125742.54688	2.0132
COG7_1.B99990036.pdb	4916.7197	-125719.09375	2.01427
COG7_1.B99990099.pdb	5766.6772	-125715.34375	2.01444
COG7_1.B99990024.pdb	5015.5688	-125703.15625	2.015
COG7_1.B99990075.pdb	5042.8564	-125648.875	2.01748
COG7_1.B99990016.pdb	5076.9175	-125646.04688	2.01761
COG7_1.B99990039.pdb	5137.4824	-125644.14844	2.01769
COG7_1.B99990051.pdb	5105.8931	-125642.91406	2.01775
COG7_1.B99990072.pdb	4991.0015	-125626.09375	2.01852
COG7_1.B99990043.pdb	5120.6943	-125624.95312	2.01857
COG7_1.B99990005.pdb	4948.5581	-125596.625	2.01987
COG7_1.B99990049.pdb	5631.3506	-125589.84375	2.02018
COG7_1.B99990090.pdb	5298.9497	-125585.32812	2.02038
COG7_1.B99990053.pdb	5029.854	-125578.60938	2.02069
COG7_1.B99990027.pdb	5207.1445	-125570.30469	2.02107
COG7_1.B99990062.pdb	5195.1196	-125562.03125	2.02145
COG7_1.B99990091.pdb	5071.8086	-125541.5625	2.02238
COG7_1.B99990012.pdb	5110.2964	-125532.84375	2.02278
COG7_1.B99990055.pdb	5797.7183	-125529.78125	2.02292
COG7_1.B99990057.pdb	4996.9551	-125485.96094	2.02493
COG7_1.B99990092.pdb	5299.1963	-125466.35156	2.02582
COG7_1.B99990010.pdb	5309.2856	-125445.41406	2.02678
COG7_1.B99990084.pdb	5266.0034	-125434.63281	2.02727
COG7_1.B99990070.pdb	5239.2075	-125430.07812	2.02748
COG7_1.B99990030.pdb	5078.8315	-125411.75781	2.02832
COG7_1.B99990008.pdb	5236.2554	-125410.84375	2.02836
COG7_1.B99990013.pdb	5886.0649	-125368.94531	2.03028
COG7_1.B99990058.pdb	5297.083	-125361.53125	2.03062
COG7_1.B99990019.pdb	5378.5513	-125310.66406	2.03294
COG7_1.B99990085.pdb	4936.0928	-125289.78125	2.0339
COG7_1.B99990017.pdb	4924.5205	-125283.28125	2.03419
COG7_1.B99990047.pdb	5651.8638	-125239.11719	2.03621
COG7_1.B99990033.pdb	4983.8662	-125236.04688	2.03635
COG7_1.B99990009.pdb	5324.8286	-125220.17188	2.03708
COG7_1.B99990025.pdb	5517.6504	-125205.70312	2.03774
COG7_1.B99990023.pdb	5095.6953	-125200.96875	2.03796
COG7_1.B99990096.pdb	5765.1494	-125138.28906	2.04082
COG7_1.B99990006.pdb	5958.6338	-125129.09375	2.04124
COG7_1.B99990034.pdb	5262.189	-125094.99219	2.0428
COG7_1.B99990093.pdb	5161.3589	-125085.39062	2.04324
COG7_1.B99990080.pdb	5231.3945	-125049.82812	2.04487
COG7_1.B99990032.pdb	5035.9761	-125041.35156	2.04525
COG7_1.B99990026.pdb	5248.3638	-125014.89062	2.04646
COG7_1.B99990028.pdb	5248.7715	-124987.42188	2.04772
COG7_1.B99990088.pdb	5130.9995	-124974.94531	2.04829
COG7_1.B99990022.pdb	5342.8813	-124971.44531	2.04845
COG7_1.B99990038.pdb	5441.332	-124944.32031	2.04969
COG7_1.B99990042.pdb	4999.229	-124942.11719	2.04979
COG7_1.B99990021.pdb	5312.3145	-124880.21094	2.05262
COG7_1.B99990068.pdb	5220.7329	-124845.79688	2.0542
COG7_1.B99990011.pdb	5274.2886	-124819.21875	2.05541
COG7_1.B99990059.pdb	5696.8218	-124753.84375	2.0584
COG7_1.B99990082.pdb	5399.3999	-124748.84375	2.05863
COG7_1.B99990065.pdb	5337.6362	-124654.64062	2.06294
COG7_1.B99990100.pdb	5832.0938	-124555.39844	2.06747
COG7_1.B99990003.pdb	5577.8271	-124548.78906	2.06777
COG7_1.B99990056.pdb	6057.9126	-124418.92188	2.07371
COG7_1.B99990076.pdb	5411.0098	-124415.83594	2.07385
COG7_1.B99990074.pdb	5158.4048	-124397.07031	2.07471
COG7_1.B99990018.pdb	5254.876	-124387.02344	2.07517
COG7_1.B99990031.pdb	5539.7104	-124308.125	2.07878
COG7_1.B99990029.pdb	5312.5684	-124267.72656	2.08063
COG7_1.B99990020.pdb	5887.5454	-123886.57031	2.09805
COG7_1.B99990089.pdb	5377.8154	-123827.11719	2.10077
COG7_1.B99990037.pdb	6275.9492	-123692.96875	2.1069
