name	molpdf	DOPE score	Normalized DOPE score
UPP2_1.B99990099.pdb	3622.6421	-78151.28906	-1.32148
UPP2_1.B99990004.pdb	3692.0908	-78148.14062	-1.32111
UPP2_1.B99990077.pdb	3677.6282	-77990.17969	-1.30256
UPP2_1.B99990072.pdb	3651.9788	-77979.375	-1.30129
UPP2_1.B99990095.pdb	3680.6274	-77958.53906	-1.29885
UPP2_1.B99990060.pdb	3755.0703	-77947.45312	-1.29754
UPP2_1.B99990009.pdb	3977.1384	-77938.80469	-1.29653
UPP2_1.B99990085.pdb	3685.2244	-77904.60156	-1.29251
UPP2_1.B99990050.pdb	3627.928	-77902.78125	-1.2923
UPP2_1.B99990007.pdb	3898.6809	-77897.79688	-1.29171
UPP2_1.B99990058.pdb	3682.4775	-77884.96875	-1.2902
UPP2_1.B99990017.pdb	3922.4895	-77880.75781	-1.28971
UPP2_1.B99990080.pdb	3638.8899	-77863.91406	-1.28773
UPP2_1.B99990023.pdb	3714.4438	-77770.03125	-1.27671
UPP2_1.B99990032.pdb	3961.7266	-77762.6875	-1.27584
UPP2_1.B99990028.pdb	3867.8262	-77752.125	-1.2746
UPP2_1.B99990082.pdb	3762.9021	-77750.55469	-1.27442
UPP2_1.B99990029.pdb	3655.4487	-77748.0625	-1.27412
UPP2_1.B99990078.pdb	3645.2847	-77746.24219	-1.27391
UPP2_1.B99990049.pdb	3622.1411	-77736.10156	-1.27272
UPP2_1.B99990042.pdb	3819.4656	-77690.55469	-1.26737
UPP2_1.B99990093.pdb	4038.884	-77679.92969	-1.26612
UPP2_1.B99990070.pdb	3816.6462	-77673.42188	-1.26536
UPP2_1.B99990030.pdb	3656.2239	-77659.78125	-1.26376
UPP2_1.B99990081.pdb	4070.1284	-77648.25781	-1.2624
UPP2_1.B99990089.pdb	3985.8542	-77644.98438	-1.26202
UPP2_1.B99990055.pdb	3703.0972	-77639.70312	-1.2614
UPP2_1.B99990019.pdb	3878.0037	-77636.53125	-1.26103
UPP2_1.B99990021.pdb	3692.907	-77632.05469	-1.2605
UPP2_1.B99990012.pdb	3975.8926	-77631.49219	-1.26043
UPP2_1.B99990035.pdb	3913.9583	-77621.21094	-1.25923
UPP2_1.B99990046.pdb	3850.7683	-77619.39844	-1.25901
UPP2_1.B99990045.pdb	4122.9805	-77614.70312	-1.25846
UPP2_1.B99990039.pdb	4025.5017	-77612.82812	-1.25824
UPP2_1.B99990063.pdb	3748.7104	-77603.10156	-1.2571
UPP2_1.B99990079.pdb	3861.5549	-77590.19531	-1.25558
UPP2_1.B99990054.pdb	3887.8423	-77583.34375	-1.25478
UPP2_1.B99990027.pdb	3952.4875	-77570.28906	-1.25325
UPP2_1.B99990097.pdb	3923.3914	-77567.82812	-1.25296
UPP2_1.B99990006.pdb	3898.6091	-77558.94531	-1.25191
UPP2_1.B99990100.pdb	4702.0918	-77551.28125	-1.25101
UPP2_1.B99990086.pdb	4163.124	-77536.32812	-1.24926
