Model_Job	Iso_ID	Base_Tpl	Tpl_Iso_Chain	Tpl_Inter_Chain	Model_Iso_Chain	Model_Inter_Chain	Model_Name	FoldX_Interaction_Energy
BCL2L1_1__Q07817_S0__Q92934_S0__AF1_A__partner_B	BCL2L1_1	Q07817_S0__Q92934_S0__AF1	A	B	A	B	BCL2L1_1.B99990017.pdb	-33.3565
BCL2L1_2__Q07817_S0__Q92934_S0__AF1_A__partner_B	BCL2L1_2	Q07817_S0__Q92934_S0__AF1	A	B	A	B	BCL2L1_2.B99990096.pdb	-19.7766
BCL2L1_3__Q07817_S0__Q92934_S0__AF1_A__partner_B	BCL2L1_3	Q07817_S0__Q92934_S0__AF1	A	B	A	B	BCL2L1_3.B99990009.pdb	-20.8494
BCL2L1_1__Q07817_S0__Q96LC9_S0__AFMM1_A__partner_B	BCL2L1_1	Q07817_S0__Q96LC9_S0__AFMM1	A	B	A	B	BCL2L1_1.B99990080.pdb	-36.0688
BCL2L1_2__Q07817_S0__Q96LC9_S0__AFMM1_A__partner_B	BCL2L1_2	Q07817_S0__Q96LC9_S0__AFMM1	A	B	A	B	BCL2L1_2.B99990026.pdb	-16.623
BCL2L1_3__Q07817_S0__Q96LC9_S0__AFMM1_A__partner_B	BCL2L1_3	Q07817_S0__Q96LC9_S0__AFMM1	A	B	A	B	BCL2L1_3.B99990019.pdb	-17.4354
COG7_1__P83436_S1__Q9UP83_S0__AF_A__partner_B	COG7_1	P83436_S1__Q9UP83_S0__AF	A	B	A	B	COG7_1.B99990081.pdb	-37.2802
COG7_3__P83436_S1__Q9UP83_S0__AF_A__partner_B	COG7_3	P83436_S1__Q9UP83_S0__AF	A	B	A	B	COG7_3.B99990035.pdb	-38.4652
E2F6_1__Q01094_S0__Q14186_S0__AFMM1_A__partner_B	E2F6_1	Q01094_S0__Q14186_S0__AFMM1	A	B	A	B	E2F6_1.B99990047.pdb	-125.111
E2F6_3__Q01094_S0__Q14186_S0__AFMM1_A__partner_B	E2F6_3	Q01094_S0__Q14186_S0__AFMM1	A	B	A	B	E2F6_3.B99990050.pdb	-110.295
GNMT_1__3THS_B__partner_A	GNMT_1	3THS	B	A	A	B	GNMT_1.B99990049.pdb	-45.4307
GNMT_3__3THS_B__partner_A	GNMT_3	3THS	B	A	A	B	GNMT_3.B99990026.pdb	-47.6427
GNMT_4__3THS_B__partner_A	GNMT_4	3THS	B	A	A	B	GNMT_4.B99990067.pdb	-40.1189
MVK_1__2R3V_A__partner_B	MVK_1	2R3V	A	B	A	B	MVK_1.B99990076.pdb	-24.5997
MVK_2__2R3V_A__partner_B	MVK_2	2R3V	A	B	A	B	MVK_2.B99990065.pdb	-20.5876
MVK_1__2R3V_B__partner_A	MVK_1	2R3V	B	A	A	B	MVK_1.B99990054.pdb	-25.0934
MVK_2__2R3V_B__partner_A	MVK_2	2R3V	B	A	A	B	MVK_2.B99990036.pdb	-21.3592
MVK_1__4HAC_A__partner_B	MVK_1	4HAC	A	B	A	B	MVK_1.B99990021.pdb	-18.1288
MVK_2__4HAC_A__partner_B	MVK_2	4HAC	A	B	A	B	MVK_2.B99990096.pdb	-15.6679
MVK_1__4HAC_B__partner_A	MVK_1	4HAC	B	A	A	B	MVK_1.B99990049.pdb	-14.6439
MVK_2__4HAC_B__partner_A	MVK_2	4HAC	B	A	A	B	MVK_2.B99990060.pdb	-18.5347
