name	molpdf	DOPE score	Normalized DOPE score
BCL2L1_2.B99990026.pdb	1846.7875	-19446.64062	0.97337
BCL2L1_2.B99990067.pdb	1847.3323	-19281.83398	1.01582
BCL2L1_2.B99990009.pdb	1958.774	-19258.33398	1.02187
BCL2L1_2.B99990079.pdb	1820.9348	-19211.98828	1.0338
BCL2L1_2.B99990074.pdb	1967.391	-19207.25391	1.03502
BCL2L1_2.B99990098.pdb	1861.3289	-19153.79102	1.04879
BCL2L1_2.B99990016.pdb	1889.3256	-19137.18555	1.05307
BCL2L1_2.B99990077.pdb	1924.7386	-19134.64062	1.05372
BCL2L1_2.B99990085.pdb	1945.2628	-19114.23242	1.05898
BCL2L1_2.B99990008.pdb	1966.7686	-19084.61914	1.06661
BCL2L1_2.B99990099.pdb	1923.3844	-19052.57227	1.07486
BCL2L1_2.B99990078.pdb	1863.6113	-19032.29297	1.08008
BCL2L1_2.B99990004.pdb	1949.3556	-19031.16016	1.08037
BCL2L1_2.B99990034.pdb	1953.2292	-19029.21094	1.08088
BCL2L1_2.B99990028.pdb	1873.7744	-18997.95508	1.08893
BCL2L1_2.B99990043.pdb	1953.9606	-18990.91602	1.09074
BCL2L1_2.B99990041.pdb	1866.0846	-18978.57031	1.09392
BCL2L1_2.B99990086.pdb	1963.1276	-18975.68164	1.09466
BCL2L1_2.B99990070.pdb	1921.7552	-18969.99023	1.09613
BCL2L1_2.B99990062.pdb	1818.0543	-18964.73633	1.09748
BCL2L1_2.B99990002.pdb	2007.7235	-18944.66992	1.10265
BCL2L1_2.B99990022.pdb	1913.0078	-18941.7832	1.10339
BCL2L1_2.B99990083.pdb	1865.1995	-18936.27539	1.10481
BCL2L1_2.B99990054.pdb	1913.1761	-18934.0625	1.10538
BCL2L1_2.B99990073.pdb	1858.6069	-18933.88477	1.10543
BCL2L1_2.B99990023.pdb	2011.0464	-18929.31836	1.1066
BCL2L1_2.B99990050.pdb	1924.8279	-18911.48633	1.11119
BCL2L1_2.B99990029.pdb	1918.5845	-18909.65625	1.11167
BCL2L1_2.B99990090.pdb	2186.948	-18905.36523	1.11277
BCL2L1_2.B99990037.pdb	1862.5593	-18900.24805	1.11409
BCL2L1_2.B99990053.pdb	1871.3524	-18897.14062	1.11489
BCL2L1_2.B99990065.pdb	1923.8972	-18887.07617	1.11748
BCL2L1_2.B99990018.pdb	1857.9629	-18885.0	1.11801
BCL2L1_2.B99990095.pdb	1872.3303	-18878.51953	1.11968
BCL2L1_2.B99990001.pdb	1869.4324	-18862.5	1.12381
BCL2L1_2.B99990057.pdb	1982.1581	-18860.76758	1.12426
BCL2L1_2.B99990060.pdb	1922.4321	-18852.10742	1.12649
BCL2L1_2.B99990082.pdb	1971.7357	-18848.61719	1.12738
BCL2L1_2.B99990068.pdb	1885.0604	-18841.57617	1.1292
BCL2L1_2.B99990096.pdb	2341.3792	-18832.16992	1.13162
BCL2L1_2.B99990049.pdb	2153.4426	-18829.06445	1.13242
BCL2L1_2.B99990048.pdb	1970.8448	-18828.68555	1.13252
BCL2L1_2.B99990061.pdb	1890.1377	-18824.00391	1.13372
BCL2L1_2.B99990052.pdb	1874.2662	-18815.14258	1.13601
BCL2L1_2.B99990027.pdb	1908.0459	-18811.66211	1.1369
BCL2L1_2.B99990036.pdb	1839.4192	-18806.32422	1.13828
BCL2L1_2.B99990091.pdb	1831.6478	-18804.16797	1.13883
BCL2L1_2.B99990066.pdb	1930.6586	-18800.36523	1.13981
BCL2L1_2.B99990051.pdb	1871.4186	-18796.63867	1.14077
BCL2L1_2.B99990005.pdb	1990.9808	-18794.58203	1.1413
BCL2L1_2.B99990019.pdb	2059.502	-18791.53516	1.14209
BCL2L1_2.B99990015.pdb	1888.5435	-18790.00977	1.14248
BCL2L1_2.B99990071.pdb	1858.1138	-18789.24219	1.14268
BCL2L1_2.B99990020.pdb	2184.8176	-18785.5	1.14364
BCL2L1_2.B99990013.pdb	1931.2933	-18781.17969	1.14475
BCL2L1_2.B99990010.pdb	2245.9907	-18778.47852	1.14545
BCL2L1_2.B99990059.pdb	2065.8145	-18777.05078	1.14582
BCL2L1_2.B99990080.pdb	2180.9158	-18775.22656	1.14629
BCL2L1_2.B99990038.pdb	1924.7177	-18774.23633	1.14654
BCL2L1_2.B99990087.pdb	1880.8751	-18769.55664	1.14775
BCL2L1_2.B99990044.pdb	1899.0424	-18764.65625	1.14901
BCL2L1_2.B99990094.pdb	1872.5592	-18764.44141	1.14906
BCL2L1_2.B99990021.pdb	1945.1926	-18754.33203	1.15167
BCL2L1_2.B99990076.pdb	1944.6113	-18751.42773	1.15241
BCL2L1_2.B99990035.pdb	1962.2294	-18735.18945	1.1566
BCL2L1_2.B99990046.pdb	2053.9307	-18729.71094	1.15801
BCL2L1_2.B99990072.pdb	1991.0275	-18698.68555	1.166
