Isoform_Comparison	Interactor_ID	Source	Template	Interactor_CA_Pairs	Interactor_CA_RMSD_Angstrom	Shared_Residues	Lost_in_Y2H_Positive	Gained_in_Y2H_Positive	Interface_Jaccard
GNMT_4 (Y2H-) vs GNMT_1 (Y2H+)	GNMT	StructMAn	3THS (B:A)	283	0.4524	60	1	9	0.8571
GNMT_4 (Y2H-) vs GNMT_3 (Y2H+)	GNMT	StructMAn	3THS (B:A)	283	0.372	57	4	9	0.8143
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	MMseqs2	2R3V (A:B)	388	0.2511	28	1	2	0.9032
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	MMseqs2	2R3V (B:A)	390	0.2456	29	2	2	0.8788
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	StructMAn	4HAC (A:B)	308	0.1264	33	2	1	0.9167
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	StructMAn	4HAC (B:A)	312	0.4244	35	2	1	0.9211
PPP3CA_2 (Y2H-) vs PPP3CA_1 (Y2H+)	PPP3R1	MMseqs2	4OR9 (A:B)	166	0.1857	81	3	2	0.9419
PPP3CA_2 (Y2H-) vs PPP3CA_1 (Y2H+)	PPP3R1	StructMAn	4ORC (A:B)	166	0.1587	77	10	1	0.875
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	NR1H3	MMseqs2	4NQA (A:B)	369	0.9841	70	25	17	0.625
RXRB_4 (Y2H-) vs RXRB_2 (Y2H+)	NR1H3	MMseqs2	4NQA (A:B)	369	1.9487	77	18	14	0.7064
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	RARA_ORF1	MMseqs2	5UAN (A:B)	308	0.4328	34	22	2	0.5862
RXRB_4 (Y2H-) vs RXRB_2 (Y2H+)	RARA_ORF1	MMseqs2	5UAN (A:B)	308	0.3077	38	18	4	0.6333
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	RARA_ORF2	MMseqs2	5UAN (A:B)	308	0.4328	34	22	2	0.5862
RXRB_3 (Y2H-) vs RXRB_1 (Y2H+)	RARB	StructMAn	4IQR (B:A)	302	0.1358	52	3	9	0.8125
RXRB_3 (Y2H-) vs RXRB_1 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.3137	36	4	0	0.9
RXRB_3 (Y2H-) vs RXRB_2 (Y2H+)	RARB	StructMAn	4IQR (B:A)	302	0.1187	54	1	7	0.871
RXRB_3 (Y2H-) vs RXRB_2 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.2027	36	4	6	0.7826
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.4328	34	22	2	0.5862
RXRB_4 (Y2H-) vs RXRB_2 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.3077	38	18	4	0.6333
UCK1_1 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (A:B)	213	0.1146	4	0	21	0.16
UCK1_1 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (B:A)	213	0.1142	7	1	19	0.2593
UCK1_3 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	StructMAn	6PWZ (H:B)	215	0.1107	27	0	1	0.9643
UCK1_3 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (A:B)	213	0.1239	24	1	1	0.9231
UCK1_3 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (B:A)	213	0.1334	26	1	0	0.963
UPP2_3 (Y2H-) vs UPP2_1 (Y2H+)	UPP2	MMseqs2	2XRF (B:C)	286	0.2439	79	0	9	0.8977
UPP2_3 (Y2H-) vs UPP2_1 (Y2H+)	UPP2	Both	2XRF (C:B)	288	0.2578	79	2	10	0.8681
UPP2_3 (Y2H-) vs UPP2_2 (Y2H+)	UPP2	MMseqs2	2XRF (B:C)	286	0.2621	78	1	7	0.907
UPP2_3 (Y2H-) vs UPP2_2 (Y2H+)	UPP2	Both	2XRF (C:B)	288	0.2657	77	4	8	0.8652
UPP2_4 (Y2H-) vs UPP2_1 (Y2H+)	UPP2	StructMAn	2XRF (C:B)	288	0.121	22	1	67	0.2444
UPP2_4 (Y2H-) vs UPP2_2 (Y2H+)	UPP2	StructMAn	2XRF (C:B)	288	0.1281	23	0	62	0.2706
