Template_ID	Isoform_Chain	Interactor_Chain
P06748_S0__Q86SE8_S0__AFMM1	B	A
P83436_S1__Q9UP83_S0__AF	A	B
Q01094_S0__Q14186_S0__AFMM1	A	B
Q07817_S0__Q92934_S0__AF1	A	B
Q07817_S0__Q96LC9_S0__AFMM1	A	B
