Iso_ID	Inter_ID	Iso_Length_AA	Inter_Length_AA	Same_Gene_Pair	Exact_Sequence_Match
BCL2L1_1	BAD	233	168	no	no
BCL2L1_1	BMF	233	184	no	no
BCL2L1_2	BAD	170	168	no	no
BCL2L1_2	BMF	170	184	no	no
BCL2L1_3	BAD	151	168	no	no
BCL2L1_3	BMF	151	184	no	no
COG7_1	COG5	770	860	no	no
COG7_3	COG5	176	860	no	no
E2F6_1	TFDP1	281	410	no	no
E2F6_1	TFDP2	281	446	no	no
E2F6_3	TFDP1	262	410	no	no
E2F6_3	TFDP2	262	446	no	no
GNMT_1	GNMT	295	295	yes	yes
GNMT_3	GNMT	276	295	yes	no
GNMT_4	GNMT	151	295	yes	no
MVK_1	MVK	396	396	yes	yes
MVK_2	MVK	344	396	yes	no
NPM1_1	NPM2	265	214	no	no
NPM1_2	NPM2	294	214	no	no
PPP3CA_1	PPP3R1	511	170	no	no
PPP3CA_2	PPP3R1	521	170	no	no
RXRB_1	NR1H3	533	447	no	no
RXRB_1	RARA_ORF1	533	462	no	no
RXRB_1	RARA_ORF2	533	457	no	no
RXRB_1	RARB	533	455	no	no
RXRB_2	NR1H3	537	447	no	no
RXRB_2	RARA_ORF1	537	462	no	no
RXRB_2	RARB	537	455	no	no
RXRB_3	RARB	508	455	no	no
RXRB_4	NR1H3	486	447	no	no
RXRB_4	RARA_ORF1	486	462	no	no
RXRB_4	RARA_ORF2	486	457	no	no
RXRB_4	RARB	486	455	no	no
UCK1_1	UCK1	201	277	yes	no
UCK1_3	UCK1	232	277	yes	no
UCK1_5	UCK1	209	277	yes	no
UPP2_1	UPP2	317	317	yes	yes
UPP2_2	UPP2	281	317	yes	no
UPP2_3	UPP2	264	317	yes	no
UPP2_4	UPP2	65	317	yes	no
