name	molpdf	DOPE score	Normalized DOPE score
MVK_2.B99990060.pdb	4058.2549	-71239.28125	-0.51192
MVK_2.B99990069.pdb	3963.4255	-71237.49219	-0.51173
MVK_2.B99990055.pdb	3972.4121	-71218.34375	-0.50966
MVK_2.B99990007.pdb	4069.5625	-71084.84375	-0.49525
MVK_2.B99990025.pdb	3981.7986	-71010.32812	-0.4872
MVK_2.B99990074.pdb	3925.1943	-70990.44531	-0.48506
MVK_2.B99990012.pdb	3956.5671	-70962.1875	-0.48201
MVK_2.B99990005.pdb	3702.7302	-70928.03125	-0.47832
MVK_2.B99990093.pdb	3849.3967	-70900.85938	-0.47538
MVK_2.B99990035.pdb	4098.2959	-70895.41406	-0.4748
MVK_2.B99990022.pdb	3733.4805	-70845.42188	-0.4694
MVK_2.B99990083.pdb	4249.3032	-70802.25	-0.46474
MVK_2.B99990033.pdb	3858.1248	-70777.1875	-0.46203
MVK_2.B99990029.pdb	3958.354	-70768.64062	-0.46111
MVK_2.B99990071.pdb	3922.2817	-70733.95312	-0.45737
MVK_2.B99990097.pdb	4046.7156	-70731.53906	-0.45711
MVK_2.B99990023.pdb	4092.0615	-70697.54688	-0.45344
MVK_2.B99990014.pdb	4161.3838	-70695.52344	-0.45322
MVK_2.B99990034.pdb	4035.9458	-70682.85156	-0.45185
MVK_2.B99990004.pdb	4162.3701	-70682.85156	-0.45185
MVK_2.B99990063.pdb	4235.2983	-70635.47656	-0.44673
MVK_2.B99990062.pdb	3919.1072	-70632.85156	-0.44645
MVK_2.B99990080.pdb	4345.0967	-70568.55469	-0.43951
MVK_2.B99990026.pdb	4081.6699	-70565.33594	-0.43916
MVK_2.B99990019.pdb	3994.6509	-70558.07031	-0.43838
MVK_2.B99990098.pdb	3973.0276	-70540.67188	-0.4365
MVK_2.B99990081.pdb	4074.5266	-70506.44531	-0.4328
MVK_2.B99990070.pdb	4706.1201	-70500.40625	-0.43215
MVK_2.B99990043.pdb	3868.2219	-70489.21875	-0.43094
MVK_2.B99990017.pdb	3845.5979	-70486.78906	-0.43068
MVK_2.B99990084.pdb	4060.1267	-70482.60156	-0.43023
MVK_2.B99990036.pdb	4075.4272	-70476.29688	-0.42955
MVK_2.B99990042.pdb	4187.5215	-70458.48438	-0.42763
MVK_2.B99990008.pdb	3694.655	-70443.26562	-0.42598
MVK_2.B99990001.pdb	4006.1531	-70440.69531	-0.42571
MVK_2.B99990073.pdb	4189.8682	-70434.78125	-0.42507
MVK_2.B99990090.pdb	4458.7441	-70426.58594	-0.42418
MVK_2.B99990065.pdb	3995.6406	-70417.51562	-0.4232
MVK_2.B99990066.pdb	4275.3154	-70407.24219	-0.42209
MVK_2.B99990002.pdb	4185.5791	-70403.82812	-0.42173
MVK_2.B99990096.pdb	4070.6399	-70384.82812	-0.41967
MVK_2.B99990031.pdb	3968.687	-70366.10156	-0.41765
MVK_2.B99990015.pdb	4026.8152	-70365.42969	-0.41758
MVK_2.B99990021.pdb	3978.283	-70364.55469	-0.41749
MVK_2.B99990053.pdb	4103.2246	-70348.86719	-0.41579
MVK_2.B99990006.pdb	4360.2573	-70320.63281	-0.41274
MVK_2.B99990075.pdb	4254.5029	-70309.8125	-0.41158
MVK_2.B99990032.pdb	4184.1772	-70298.77344	-0.41038
MVK_2.B99990028.pdb	4109.8804	-70298.25	-0.41033
MVK_2.B99990077.pdb	3876.3992	-70292.50781	-0.40971
MVK_2.B99990048.pdb	4156.0371	-70272.33594	-0.40753
MVK_2.B99990099.pdb	4596.1572	-70272.29688	-0.40753
MVK_2.B99990020.pdb	4526.8115	-70257.14844	-0.40589
MVK_2.B99990003.pdb	4029.5129	-70243.375	-0.4044
MVK_2.B99990079.pdb	3982.8762	-70232.10156	-0.40319
MVK_2.B99990051.pdb	4531.2412	-70226.84375	-0.40262
MVK_2.B99990076.pdb	4387.7246	-70225.15625	-0.40244
MVK_2.B99990061.pdb	4690.2852	-70214.9375	-0.40133
MVK_2.B99990040.pdb	4502.9009	-70202.41406	-0.39998
MVK_2.B99990082.pdb	4294.7202	-70188.36719	-0.39846
MVK_2.B99990016.pdb	4352.9399	-70186.07031	-0.39822
MVK_2.B99990088.pdb	3923.364	-70173.25	-0.39683
MVK_2.B99990009.pdb	4006.9768	-70159.25781	-0.39532
MVK_2.B99990054.pdb	3974.5166	-70156.65625	-0.39504
MVK_2.B99990011.pdb	3878.3486	-70144.89844	-0.39377
MVK_2.B99990038.pdb	4019.6965	-70140.64062	-0.39331
MVK_2.B99990095.pdb	4216.5093	-70139.67969	-0.39321
MVK_2.B99990024.pdb	4864.1055	-70092.5	-0.38811
MVK_2.B99990013.pdb	3971.916	-70088.0625	-0.38764
MVK_2.B99990068.pdb	4235.9785	-70080.96094	-0.38687
MVK_2.B99990037.pdb	4054.5508	-70078.10938	-0.38656
MVK_2.B99990045.pdb	4727.1201	-70058.85938	-0.38448
MVK_2.B99990049.pdb	4464.8887	-70055.78125	-0.38415
MVK_2.B99990091.pdb	4023.6494	-70032.375	-0.38162
MVK_2.B99990100.pdb	4339.2085	-70013.67188	-0.3796
MVK_2.B99990067.pdb	4258.2896	-70013.42188	-0.37958
MVK_2.B99990050.pdb	4410.9243	-69964.17969	-0.37426
MVK_2.B99990094.pdb	4469.6685	-69921.55469	-0.36966
MVK_2.B99990030.pdb	4427.9824	-69919.78906	-0.36947
MVK_2.B99990085.pdb	4112.2764	-69919.39844	-0.36943
MVK_2.B99990044.pdb	4030.1101	-69898.25781	-0.36714
MVK_2.B99990092.pdb	4616.5112	-69832.07812	-0.36
MVK_2.B99990089.pdb	4641.8701	-69806.63281	-0.35725
MVK_2.B99990059.pdb	4129.4146	-69790.75781	-0.35554
MVK_2.B99990057.pdb	4137.2856	-69776.0	-0.35395
MVK_2.B99990072.pdb	4491.0605	-69774.33594	-0.35377
MVK_2.B99990041.pdb	4224.6709	-69734.63281	-0.34948
MVK_2.B99990058.pdb	4116.3818	-69719.33594	-0.34783
MVK_2.B99990056.pdb	4738.4307	-69689.09375	-0.34456
MVK_2.B99990052.pdb	4161.9966	-69644.57812	-0.33976
MVK_2.B99990027.pdb	4442.1313	-69577.76562	-0.33254
MVK_2.B99990039.pdb	4430.0415	-69575.11719	-0.33226
MVK_2.B99990046.pdb	4139.2466	-69568.95312	-0.33159
MVK_2.B99990078.pdb	4651.7456	-69539.98438	-0.32847
MVK_2.B99990064.pdb	4138.8306	-69510.57812	-0.32529
MVK_2.B99990087.pdb	4797.999	-69345.32812	-0.30745
MVK_2.B99990047.pdb	4698.9331	-69237.65625	-0.29583
MVK_2.B99990018.pdb	4821.3086	-69096.72656	-0.28061
MVK_2.B99990010.pdb	4850.6401	-69071.97656	-0.27794
MVK_2.B99990086.pdb	4718.6777	-68924.5625	-0.26202
