Gene A	Input Protein ID A	Primary Protein ID A	Uniprot-Ac A	Interface Number A	Gene B	Input Protein ID B	Primary Protein ID B	Uniprot-Ac B	Interface Number B	Structure Recommendation	Interaction Score
-	BTRC_3_frame1	BTRC_3_frame1	-	-	-	ANKRD50_2_frame1	ANKRD50_2_frame1	-	-	Q969H0_S0__Q9ULT8_S1__AF5:A:B	25.5695
-	BTRC_3_frame1	BTRC_3_frame1	-	-	-	CDK20_3_frame1	CDK20_3_frame1	-	-	Q13627_S0__Q969H0_S0__AF:B:A	1.8366
-	BTRC_3_frame1	BTRC_3_frame1	-	-	-	CDK5_1_frame1	CDK5_1_frame1	-	-	Q13627_S0__Q969H0_S0__AF:B:A	1.8366
-	BTRC_3_frame1	BTRC_3_frame1	-	-	-	CDK5_2_frame1	CDK5_2_frame1	-	-	Q13627_S0__Q969H0_S0__AF:B:A	1.8366
-	SDC3_1_frame1	SDC3_1_frame1	-	-	-	PTPRN	PTPRN	-	-	O75056_S0__P23471_S2__AFMM3:A:B	2.8763
-	SDC3_1_frame1	SDC3_1_frame1	-	-	-	CXCR3_1_frame1	CXCR3_1_frame1	-	-	P31431_S0__P61073_S0__AF:A:B	6.753
-	SDC3_1_frame1	SDC3_1_frame1	-	-	-	CXCR3_2_frame1	CXCR3_2_frame1	-	-	P31431_S0__P61073_S0__AF:A:B	6.3384
-	MDM4	MDM4	-	-	-	MDM4	MDM4	-	-	O15151_S0__Q00987_S0__AFMM3:A:B	73.2441
-	MDM4	MDM4	-	-	-	AKT1_1_frame1	AKT1_1_frame1	-	-	Q00987_S0__Q9NRM7_S0__AFMM4:A:B	68.5282
-	MDM4	MDM4	-	-	-	CDK5_1_frame1	CDK5_1_frame1	-	-	Q00987_S0__Q9NRM7_S0__AFMM4:A:B	54.9954
-	MDM4	MDM4	-	-	-	PLK4	PLK4	-	-	Q00987_S0__Q9NRM7_S0__AFMM4:A:B	76.7764
