name	molpdf	DOPE score	Normalized DOPE score
MVK_1.B99990021.pdb	4198.0386	-75324.5	-0.3286
MVK_1.B99990014.pdb	3908.7915	-75264.49219	-0.32256
MVK_1.B99990075.pdb	4131.6758	-75194.00781	-0.31547
MVK_1.B99990002.pdb	4254.1396	-75095.11719	-0.30552
MVK_1.B99990074.pdb	4015.6282	-75089.79688	-0.30499
MVK_1.B99990027.pdb	4112.7119	-75065.875	-0.30258
MVK_1.B99990081.pdb	4344.4658	-75026.65625	-0.29863
MVK_1.B99990019.pdb	3938.7883	-75005.35156	-0.29649
MVK_1.B99990079.pdb	4119.0498	-75002.21875	-0.29618
MVK_1.B99990094.pdb	4314.2241	-74972.00781	-0.29314
MVK_1.B99990038.pdb	4019.3303	-74897.77344	-0.28567
MVK_1.B99990043.pdb	4053.2349	-74866.94531	-0.28257
MVK_1.B99990083.pdb	4032.3484	-74860.84375	-0.28195
MVK_1.B99990050.pdb	4176.0889	-74844.58594	-0.28032
MVK_1.B99990052.pdb	4111.5596	-74762.03906	-0.27201
MVK_1.B99990006.pdb	4097.6572	-74724.28125	-0.26822
MVK_1.B99990028.pdb	3904.1238	-74659.59375	-0.26171
MVK_1.B99990035.pdb	4073.2769	-74629.24219	-0.25865
MVK_1.B99990020.pdb	3887.3545	-74603.5	-0.25606
MVK_1.B99990061.pdb	4014.5979	-74599.52344	-0.25566
MVK_1.B99990001.pdb	3920.7051	-74587.82031	-0.25449
MVK_1.B99990100.pdb	4018.2051	-74565.45312	-0.25224
MVK_1.B99990034.pdb	3964.7136	-74562.42188	-0.25193
MVK_1.B99990089.pdb	4055.3804	-74559.125	-0.2516
MVK_1.B99990003.pdb	4090.9658	-74540.5625	-0.24973
MVK_1.B99990060.pdb	4081.7283	-74520.91406	-0.24776
MVK_1.B99990032.pdb	4214.0576	-74513.8125	-0.24704
MVK_1.B99990041.pdb	4044.0095	-74506.85156	-0.24634
MVK_1.B99990015.pdb	4138.8618	-74501.46875	-0.2458
MVK_1.B99990044.pdb	4289.9541	-74494.79688	-0.24513
MVK_1.B99990009.pdb	4216.5508	-74494.67188	-0.24512
MVK_1.B99990018.pdb	4457.6528	-74489.30469	-0.24458
