name	molpdf	DOPE score	Normalized DOPE score
PPP3CA_2.B99990077.pdb	2789.3054	-76256.32812	-0.63759
PPP3CA_2.B99990037.pdb	3344.8696	-75743.26562	-0.5847
PPP3CA_2.B99990021.pdb	2955.1497	-75724.85156	-0.5828
PPP3CA_2.B99990061.pdb	2873.4275	-75696.85938	-0.57992
PPP3CA_2.B99990032.pdb	2868.2798	-75677.63281	-0.57793
PPP3CA_2.B99990078.pdb	2890.4092	-75646.60938	-0.57474
PPP3CA_2.B99990080.pdb	2860.2466	-75635.58594	-0.5736
PPP3CA_2.B99990008.pdb	2977.7073	-75618.57031	-0.57185
PPP3CA_2.B99990055.pdb	3014.4622	-75588.1875	-0.56871
PPP3CA_2.B99990053.pdb	2876.7625	-75583.73438	-0.56825
PPP3CA_2.B99990087.pdb	2992.8882	-75446.82031	-0.55414
PPP3CA_2.B99990051.pdb	2910.2393	-75433.17969	-0.55273
PPP3CA_2.B99990093.pdb	3340.5793	-75356.70312	-0.54485
PPP3CA_2.B99990012.pdb	3511.7532	-75308.52344	-0.53988
PPP3CA_2.B99990038.pdb	2794.6882	-75295.39062	-0.53853
PPP3CA_2.B99990099.pdb	2822.5706	-75269.28906	-0.53584
PPP3CA_2.B99990054.pdb	3125.135	-75218.26562	-0.53058
PPP3CA_2.B99990092.pdb	3916.1541	-75185.63281	-0.52722
PPP3CA_2.B99990048.pdb	3058.8054	-75162.21094	-0.5248
PPP3CA_2.B99990072.pdb	3455.5432	-75142.95312	-0.52282
PPP3CA_2.B99990096.pdb	3607.3538	-75121.63281	-0.52062
PPP3CA_2.B99990094.pdb	3027.7446	-75116.6875	-0.52011
PPP3CA_2.B99990017.pdb	2961.6868	-75108.97656	-0.51931
PPP3CA_2.B99990004.pdb	3010.6306	-75107.53125	-0.51916
PPP3CA_2.B99990035.pdb	4105.5503	-75104.85156	-0.51889
PPP3CA_2.B99990025.pdb	3026.9932	-75081.95312	-0.51653
PPP3CA_2.B99990100.pdb	3192.4299	-75026.98438	-0.51086
PPP3CA_2.B99990064.pdb	3146.9565	-75021.83594	-0.51033
PPP3CA_2.B99990079.pdb	3263.3472	-74959.79688	-0.50393
PPP3CA_2.B99990033.pdb	3523.1929	-74921.26562	-0.49996
