name	molpdf	DOPE score	Normalized DOPE score
RXRB_1.B99990099.pdb	3548.1509	-81876.38281	0.08679
RXRB_1.B99990082.pdb	3741.1157	-81533.1875	0.11374
RXRB_1.B99990052.pdb	3725.6338	-81530.41406	0.11396
RXRB_1.B99990027.pdb	3626.9348	-81389.46875	0.12502
RXRB_1.B99990046.pdb	3497.252	-81324.64844	0.13011
RXRB_1.B99990064.pdb	3865.0281	-81311.27344	0.13116
RXRB_1.B99990034.pdb	3675.7327	-81240.5	0.13672
RXRB_1.B99990057.pdb	3575.2957	-81166.07031	0.14256
RXRB_1.B99990008.pdb	3512.6836	-81156.61719	0.14331
RXRB_1.B99990033.pdb	3629.1152	-81146.58594	0.14409
RXRB_1.B99990071.pdb	3607.3271	-81127.35156	0.1456
RXRB_1.B99990070.pdb	3640.9058	-81077.17969	0.14954
RXRB_1.B99990081.pdb	3804.9309	-81055.39062	0.15125
RXRB_1.B99990074.pdb	4029.9102	-80914.01562	0.16235
RXRB_1.B99990086.pdb	3651.6228	-80890.97656	0.16416
RXRB_1.B99990100.pdb	3852.2634	-80873.32031	0.16555
RXRB_1.B99990001.pdb	3906.4033	-80846.78906	0.16763
RXRB_1.B99990049.pdb	3592.5059	-80837.67969	0.16835
RXRB_1.B99990014.pdb	3895.9312	-80815.72656	0.17007
RXRB_1.B99990006.pdb	3886.2805	-80786.85938	0.17234
RXRB_1.B99990098.pdb	3846.3025	-80784.58594	0.17252
RXRB_1.B99990084.pdb	3629.4612	-80770.58594	0.17362
RXRB_1.B99990013.pdb	3695.2656	-80729.97656	0.1768
RXRB_1.B99990002.pdb	4303.9243	-80721.69531	0.17746
RXRB_1.B99990026.pdb	4086.1555	-80719.9375	0.17759
RXRB_1.B99990021.pdb	3743.4771	-80702.46875	0.17896
RXRB_1.B99990075.pdb	4161.7603	-80694.75781	0.17957
RXRB_1.B99990012.pdb	3912.9302	-80662.85156	0.18208
RXRB_1.B99990039.pdb	4066.6038	-80656.78906	0.18255
RXRB_1.B99990056.pdb	4673.9907	-80632.82031	0.18443
RXRB_1.B99990060.pdb	3917.2224	-80627.50781	0.18485
RXRB_1.B99990036.pdb	4215.9785	-80617.25781	0.18566
RXRB_1.B99990089.pdb	3615.2598	-80615.82812	0.18577
RXRB_1.B99990018.pdb	4127.6646	-80600.74219	0.18695
RXRB_1.B99990042.pdb	3966.4011	-80597.76562	0.18719
RXRB_1.B99990053.pdb	4013.5217	-80590.79688	0.18773
RXRB_1.B99990045.pdb	3663.3484	-80575.74219	0.18891
RXRB_1.B99990083.pdb	4173.0703	-80565.36719	0.18973
RXRB_1.B99990017.pdb	4027.0403	-80539.57031	0.19175
RXRB_1.B99990035.pdb	4499.4697	-80534.82031	0.19213
RXRB_1.B99990092.pdb	4167.3901	-80522.27344	0.19311
RXRB_1.B99990079.pdb	3919.6592	-80507.02344	0.19431
RXRB_1.B99990059.pdb	3797.6985	-80490.60938	0.1956
RXRB_1.B99990038.pdb	3505.72	-80489.36719	0.1957
RXRB_1.B99990037.pdb	4073.3872	-80482.30469	0.19625
RXRB_1.B99990091.pdb	4106.5459	-80478.55469	0.19655
RXRB_1.B99990087.pdb	3979.3369	-80445.0	0.19918
RXRB_1.B99990030.pdb	3882.6277	-80437.97656	0.19973
RXRB_1.B99990024.pdb	4060.3606	-80388.82031	0.20359
RXRB_1.B99990043.pdb	3891.1819	-80349.50781	0.20668
RXRB_1.B99990023.pdb	4016.6021	-80325.25781	0.20858
RXRB_1.B99990062.pdb	4339.1128	-80324.47656	0.20864
RXRB_1.B99990028.pdb	4205.0293	-80312.88281	0.20955
RXRB_1.B99990007.pdb	4145.1685	-80286.45312	0.21163
RXRB_1.B99990029.pdb	4318.71	-80275.55469	0.21248
RXRB_1.B99990094.pdb	4017.6128	-80268.45312	0.21304
RXRB_1.B99990005.pdb	4089.5107	-80254.35156	0.21415
RXRB_1.B99990044.pdb	3804.7463	-80234.92969	0.21567
RXRB_1.B99990009.pdb	4631.2144	-80233.63281	0.21578
RXRB_1.B99990095.pdb	4447.4009	-80218.96094	0.21693
RXRB_1.B99990069.pdb	3992.8066	-80212.71094	0.21742
RXRB_1.B99990032.pdb	3798.0579	-80200.98438	0.21834
RXRB_1.B99990031.pdb	3804.1292	-80191.1875	0.21911
RXRB_1.B99990068.pdb	4012.2615	-80184.85938	0.21961
RXRB_1.B99990040.pdb	3798.8899	-80184.71875	0.21962
RXRB_1.B99990004.pdb	4107.3774	-80168.6875	0.22088
RXRB_1.B99990065.pdb	4032.7493	-80166.67188	0.22103
RXRB_1.B99990077.pdb	4262.7734	-80123.14844	0.22445
RXRB_1.B99990047.pdb	4582.8843	-80120.23438	0.22468
RXRB_1.B99990003.pdb	4036.9126	-80112.75	0.22527
RXRB_1.B99990055.pdb	3948.8086	-80061.33594	0.2293
RXRB_1.B99990096.pdb	4199.8311	-80043.14844	0.23073
RXRB_1.B99990011.pdb	4170.396	-80033.90625	0.23146
RXRB_1.B99990010.pdb	3920.8521	-80017.64062	0.23273
RXRB_1.B99990061.pdb	4087.647	-79999.65625	0.23415
RXRB_1.B99990041.pdb	4269.9048	-79985.25781	0.23528
RXRB_1.B99990054.pdb	4175.6548	-79965.24219	0.23685
RXRB_1.B99990073.pdb	3775.0928	-79906.32031	0.24148
RXRB_1.B99990022.pdb	3927.0625	-79885.5	0.24311
RXRB_1.B99990093.pdb	4203.9868	-79780.47656	0.25136
RXRB_1.B99990020.pdb	4397.3267	-79694.78125	0.25808
RXRB_1.B99990019.pdb	4426.1421	-79687.03125	0.25869
RXRB_1.B99990050.pdb	4721.7207	-79668.16406	0.26017
RXRB_1.B99990051.pdb	4540.1709	-79648.96875	0.26168
RXRB_1.B99990016.pdb	4180.1753	-79631.60938	0.26304
RXRB_1.B99990025.pdb	3781.1372	-79627.5625	0.26336
RXRB_1.B99990076.pdb	4159.1279	-79585.95312	0.26663
RXRB_1.B99990048.pdb	4176.7295	-79537.36719	0.27044
RXRB_1.B99990066.pdb	4237.8589	-79396.71875	0.28149
RXRB_1.B99990080.pdb	4322.3755	-79382.28906	0.28262
RXRB_1.B99990015.pdb	4387.9434	-78865.21875	0.32322
RXRB_1.B99990078.pdb	5071.2686	-78694.25	0.33664
RXRB_1.B99990097.pdb	9168.8564	-78382.48438	0.36112
RXRB_1.B99990085.pdb	9288.1016	-78255.00781	0.37113
RXRB_1.B99990058.pdb	9755.4785	-77872.5	0.40116
RXRB_1.B99990067.pdb	8827.502	-77652.625	0.41843
RXRB_1.B99990088.pdb	9852.2031	-77373.35156	0.44035
RXRB_1.B99990063.pdb	9005.7227	-77178.74219	0.45563
RXRB_1.B99990090.pdb	9238.9766	-76961.44531	0.4727
