name	molpdf	DOPE score	Normalized DOPE score
UPP2_2.B99990032.pdb	3229.9316	-71182.25781	-1.07383
UPP2_2.B99990057.pdb	3256.1218	-71082.48438	-1.06141
UPP2_2.B99990034.pdb	3242.1206	-71006.65625	-1.05197
UPP2_2.B99990097.pdb	3248.2632	-70990.15625	-1.04992
UPP2_2.B99990096.pdb	3200.4695	-70987.78125	-1.04962
UPP2_2.B99990033.pdb	3191.1184	-70980.40625	-1.0487
UPP2_2.B99990092.pdb	3355.9534	-70974.45312	-1.04796
UPP2_2.B99990005.pdb	3229.1863	-70973.21875	-1.04781
UPP2_2.B99990089.pdb	3431.4758	-70936.89844	-1.04329
UPP2_2.B99990052.pdb	3170.655	-70919.44531	-1.04112
UPP2_2.B99990047.pdb	3315.9792	-70914.17188	-1.04046
UPP2_2.B99990006.pdb	3396.2231	-70870.39062	-1.03501
UPP2_2.B99990038.pdb	3668.0508	-70866.15625	-1.03448
UPP2_2.B99990062.pdb	3270.4888	-70863.78906	-1.03419
UPP2_2.B99990059.pdb	3367.7466	-70856.67188	-1.0333
UPP2_2.B99990013.pdb	3257.3167	-70828.03125	-1.02974
UPP2_2.B99990002.pdb	3292.5903	-70800.04688	-1.02626
UPP2_2.B99990083.pdb	3566.1265	-70788.21094	-1.02478
UPP2_2.B99990072.pdb	3244.3916	-70770.78125	-1.02261
UPP2_2.B99990010.pdb	3386.6917	-70768.15625	-1.02229
UPP2_2.B99990009.pdb	3346.0708	-70763.55469	-1.02171
UPP2_2.B99990080.pdb	3357.9395	-70759.5625	-1.02122
UPP2_2.B99990050.pdb	3579.6555	-70724.60938	-1.01687
UPP2_2.B99990023.pdb	3422.1187	-70721.38281	-1.01647
UPP2_2.B99990086.pdb	3269.2847	-70709.78906	-1.01502
UPP2_2.B99990076.pdb	3238.6208	-70703.84375	-1.01428
UPP2_2.B99990025.pdb	3335.3972	-70680.41406	-1.01137
UPP2_2.B99990095.pdb	3416.6172	-70675.82031	-1.01079
UPP2_2.B99990043.pdb	3331.7778	-70668.10156	-1.00983
UPP2_2.B99990029.pdb	3766.1133	-70653.21875	-1.00798
UPP2_2.B99990055.pdb	3437.1533	-70647.64844	-1.00729
UPP2_2.B99990100.pdb	3452.967	-70619.96094	-1.00384
UPP2_2.B99990004.pdb	3594.9729	-70616.14844	-1.00337
UPP2_2.B99990071.pdb	3524.8928	-70614.71875	-1.00319
UPP2_2.B99990060.pdb	3550.21	-70608.96094	-1.00247
UPP2_2.B99990026.pdb	3447.7336	-70607.77344	-1.00232
UPP2_2.B99990094.pdb	3497.1602	-70596.80469	-1.00096
UPP2_2.B99990051.pdb	3374.1697	-70594.83594	-1.00071
UPP2_2.B99990008.pdb	3511.9509	-70594.65625	-1.00069
UPP2_2.B99990056.pdb	3428.488	-70591.01562	-1.00024
UPP2_2.B99990090.pdb	3527.7288	-70587.82031	-0.99984
UPP2_2.B99990081.pdb	3515.5273	-70586.08594	-0.99963
UPP2_2.B99990073.pdb	3538.1702	-70575.46094	-0.9983
UPP2_2.B99990087.pdb	3747.0745	-70562.82812	-0.99673
UPP2_2.B99990018.pdb	3549.1438	-70559.125	-0.99627
UPP2_2.B99990011.pdb	3412.0371	-70553.36719	-0.99555
UPP2_2.B99990077.pdb	3445.4761	-70537.4375	-0.99357
UPP2_2.B99990042.pdb	3474.5244	-70519.92969	-0.99139
UPP2_2.B99990078.pdb	3464.3657	-70513.92188	-0.99064
UPP2_2.B99990015.pdb	4030.5757	-70510.99219	-0.99028
UPP2_2.B99990048.pdb	3541.7617	-70507.86719	-0.98989
UPP2_2.B99990007.pdb	3529.9695	-70502.80469	-0.98926
UPP2_2.B99990027.pdb	3396.854	-70502.26562	-0.98919
UPP2_2.B99990070.pdb	3663.9016	-70502.14844	-0.98918
UPP2_2.B99990084.pdb	3522.4785	-70500.13281	-0.98893
UPP2_2.B99990058.pdb	3430.6377	-70497.92188	-0.98865
UPP2_2.B99990046.pdb	3767.8696	-70495.01562	-0.98829
UPP2_2.B99990003.pdb	3625.1589	-70494.75	-0.98826
UPP2_2.B99990016.pdb	3855.4785	-70478.0625	-0.98618
UPP2_2.B99990068.pdb	3726.5688	-70476.625	-0.986
UPP2_2.B99990021.pdb	3636.7681	-70473.125	-0.98557
UPP2_2.B99990024.pdb	3438.4802	-70462.47656	-0.98424
UPP2_2.B99990030.pdb	3482.3262	-70461.10156	-0.98407
UPP2_2.B99990041.pdb	3975.4419	-70458.26562	-0.98372
UPP2_2.B99990045.pdb	3486.1279	-70440.55469	-0.98151
UPP2_2.B99990036.pdb	3516.5173	-70440.13281	-0.98146
UPP2_2.B99990028.pdb	3939.8716	-70436.14844	-0.98096
UPP2_2.B99990053.pdb	3479.8162	-70424.66406	-0.97953
UPP2_2.B99990019.pdb	3708.9495	-70422.13281	-0.97922
UPP2_2.B99990074.pdb	3501.5349	-70418.76562	-0.9788
UPP2_2.B99990049.pdb	3737.0928	-70418.13281	-0.97872
UPP2_2.B99990065.pdb	3414.3853	-70409.29688	-0.97762
UPP2_2.B99990075.pdb	3855.3677	-70396.80469	-0.97607
UPP2_2.B99990020.pdb	3587.7456	-70367.875	-0.97247
UPP2_2.B99990064.pdb	3496.3706	-70366.03906	-0.97224
UPP2_2.B99990079.pdb	4011.6155	-70363.13281	-0.97187
UPP2_2.B99990031.pdb	3533.9817	-70347.52344	-0.96993
UPP2_2.B99990099.pdb	3505.377	-70341.48438	-0.96918
UPP2_2.B99990044.pdb	3453.041	-70333.27344	-0.96816
UPP2_2.B99990001.pdb	3500.7615	-70312.55469	-0.96558
UPP2_2.B99990082.pdb	3512.5249	-70301.42969	-0.96419
UPP2_2.B99990040.pdb	3484.0081	-70299.21875	-0.96392
UPP2_2.B99990069.pdb	3689.8782	-70298.5	-0.96383
