name	molpdf	DOPE score	Normalized DOPE score
BCL2L1_1.B99990017.pdb	1110.7205	-30570.08008	-1.32489
BCL2L1_1.B99990012.pdb	1107.9165	-30495.04688	-1.30611
BCL2L1_1.B99990015.pdb	1032.522	-30310.58789	-1.25995
BCL2L1_1.B99990065.pdb	1121.6346	-30295.37305	-1.25614
BCL2L1_1.B99990003.pdb	1036.0104	-30269.67773	-1.24971
BCL2L1_1.B99990085.pdb	995.1995	-30262.76562	-1.24798
BCL2L1_1.B99990049.pdb	969.5969	-30249.94727	-1.24477
BCL2L1_1.B99990095.pdb	1013.073	-30224.27148	-1.23835
BCL2L1_1.B99990084.pdb	1022.133	-30221.66016	-1.2377
BCL2L1_1.B99990033.pdb	939.355	-30203.31445	-1.2331
BCL2L1_1.B99990076.pdb	1027.9479	-30201.67578	-1.23269
BCL2L1_1.B99990100.pdb	1065.8007	-30189.76953	-1.22971
BCL2L1_1.B99990002.pdb	1044.0757	-30181.34766	-1.22761
BCL2L1_1.B99990077.pdb	1123.4532	-30152.79102	-1.22046
BCL2L1_1.B99990039.pdb	1032.7987	-30141.07031	-1.21753
BCL2L1_1.B99990034.pdb	1033.271	-30139.48242	-1.21713
BCL2L1_1.B99990063.pdb	1017.3851	-30135.57422	-1.21615
BCL2L1_1.B99990060.pdb	999.9387	-30130.11523	-1.21479
BCL2L1_1.B99990007.pdb	1048.2239	-30128.31641	-1.21434
BCL2L1_1.B99990038.pdb	1093.1064	-30124.28906	-1.21333
BCL2L1_1.B99990079.pdb	1105.1799	-30120.74023	-1.21244
BCL2L1_1.B99990013.pdb	1057.4854	-30117.72656	-1.21169
BCL2L1_1.B99990066.pdb	1041.3431	-30104.97266	-1.20849
BCL2L1_1.B99990032.pdb	1057.7863	-30104.55469	-1.20839
BCL2L1_1.B99990044.pdb	1061.8215	-30100.20898	-1.2073
BCL2L1_1.B99990072.pdb	1069.2527	-30098.8457	-1.20696
BCL2L1_1.B99990068.pdb	1097.9949	-30097.48047	-1.20662
BCL2L1_1.B99990020.pdb	1005.8063	-30095.82617	-1.20621
BCL2L1_1.B99990092.pdb	1030.6426	-30094.37695	-1.20584
BCL2L1_1.B99990048.pdb	1083.0182	-30093.89062	-1.20572
BCL2L1_1.B99990099.pdb	1007.1608	-30085.16211	-1.20354
BCL2L1_1.B99990083.pdb	1017.578	-30083.80273	-1.2032
BCL2L1_1.B99990094.pdb	1073.5404	-30081.89258	-1.20272
BCL2L1_1.B99990067.pdb	1242.9275	-30080.56055	-1.20238
BCL2L1_1.B99990025.pdb	1118.83	-30054.79492	-1.19594
BCL2L1_1.B99990029.pdb	1136.6313	-30042.4668	-1.19285
BCL2L1_1.B99990028.pdb	1033.9498	-30039.38477	-1.19208
BCL2L1_1.B99990016.pdb	1095.2404	-30036.1543	-1.19127
BCL2L1_1.B99990040.pdb	1009.2747	-30024.83203	-1.18844
BCL2L1_1.B99990008.pdb	1044.1178	-30020.35156	-1.18732
BCL2L1_1.B99990011.pdb	1000.9011	-30018.26172	-1.18679
