Isoform_ID	Interactor_ID	Y2H_Result	Source	Template	Model_Chains	Selected_Model	MOLPDF	DOPE_Score	Normalized_DOPE_Score
BCL2L1_1	BAD	positive	StructMAn	Q07817_S0__Q92934_S0__AF1 (A:B)	A:B	BCL2L1_1.B99990017.pdb	1110.7205	-30570.08008	-1.32489
BCL2L1_1	BMF	positive	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1 (A:B)	A:B	BCL2L1_1.B99990080.pdb	1515.7764	-33387.44141	-0.47572
BCL2L1_2	BAD	negative	StructMAn	Q07817_S0__Q92934_S0__AF1 (A:B)	A:B	BCL2L1_2.B99990096.pdb	1464.9026	-16655.37891	0.25146
BCL2L1_2	BMF	negative	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1 (A:B)	A:B	BCL2L1_2.B99990026.pdb	1846.7875	-19446.64062	0.97337
BCL2L1_3	BAD	negative	StructMAn	Q07817_S0__Q92934_S0__AF1 (A:B)	A:B	BCL2L1_3.B99990009.pdb	1924.894	-15945.10742	-0.38859
BCL2L1_3	BMF	positive	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1 (A:B)	A:B	BCL2L1_3.B99990019.pdb	2442.3496	-18648.96484	0.54112
COG7_1	COG5	negative	StructMAn	P83436_S1__Q9UP83_S0__AF (A:B)	A:B	COG7_1.B99990081.pdb	5046.0122	-126538.32812	1.97681
COG7_3	COG5	positive	StructMAn	P83436_S1__Q9UP83_S0__AF (A:B)	A:B	COG7_3.B99990035.pdb	2914.8892	-106232.58594	-0.38653
E2F6_1	TFDP1	positive	StructMAn	Q01094_S0__Q14186_S0__AFMM1 (A:B)	A:B	E2F6_1.B99990047.pdb	2707.1555	-57909.04297	-0.12718
E2F6_1	TFDP2	positive	StructMAn	Q01094_S0__Q14186_S0__AFMM1 (A:B)	A:B	E2F6_1.B99990047.pdb	2707.1555	-57909.04297	-0.12718
E2F6_3	TFDP1	negative	StructMAn	Q01094_S0__Q14186_S0__AFMM1 (A:B)	A:B	E2F6_3.B99990050.pdb	2754.8999	-56215.6875	-0.34162
E2F6_3	TFDP2	negative	StructMAn	Q01094_S0__Q14186_S0__AFMM1 (A:B)	A:B	E2F6_3.B99990050.pdb	2754.8999	-56215.6875	-0.34162
GNMT_1	GNMT	positive	StructMAn	3THS (B:A)	A:B	GNMT_1.B99990049.pdb	2463.7878	-69931.05469	-1.21264
GNMT_3	GNMT	positive	StructMAn	3THS (B:A)	A:B	GNMT_3.B99990026.pdb	4393.2183	-65490.05469	-0.93647
GNMT_4	GNMT	negative	StructMAn	3THS (B:A)	A:B	GNMT_4.B99990067.pdb	2039.5229	-49914.35938	-0.92626
MVK_1	MVK	positive	MMseqs2	2R3V (A:B)	A:B	MVK_1.B99990076.pdb	3859.2026	-94194.25	-1.17729
MVK_1	MVK	positive	MMseqs2	2R3V (B:A)	A:B	MVK_1.B99990054.pdb	3846.7141	-94221.625	-1.13925
MVK_1	MVK	positive	StructMAn	4HAC (A:B)	A:B	MVK_1.B99990021.pdb	4198.0386	-75324.5	-0.3286
MVK_1	MVK	positive	StructMAn	4HAC (B:A)	A:B	MVK_1.B99990049.pdb	4107.5967	-75336.0625	-0.30848
MVK_2	MVK	negative	MMseqs2	2R3V (A:B)	A:B	MVK_2.B99990065.pdb	4197.7969	-84138.96875	-0.84485
MVK_2	MVK	negative	MMseqs2	2R3V (B:A)	A:B	MVK_2.B99990036.pdb	4002.0659	-84336.48438	-0.82144
MVK_2	MVK	negative	StructMAn	4HAC (A:B)	A:B	MVK_2.B99990096.pdb	4099.6284	-71946.71094	-0.61299
MVK_2	MVK	negative	StructMAn	4HAC (B:A)	A:B	MVK_2.B99990060.pdb	4058.2549	-71239.28125	-0.51192
NPM1_1	NPM2	positive	StructMAn	P06748_S0__Q86SE8_S0__AFMM1 (B:A)	A:B	NPM1_1.B99990030.pdb	2739.0327	-31814.63281	0.95977
NPM1_2	NPM2	negative	StructMAn	P06748_S0__Q86SE8_S0__AFMM1 (B:A)	A:B	NPM1_2.B99990003.pdb	2674.6648	-32966.42969	0.92773
PPP3CA_1	PPP3R1	positive	MMseqs2	4OR9 (A:B)	A:B	PPP3CA_1.B99990028.pdb	5599.0723	-77198.64844	-0.84591
