name	molpdf	DOPE score	Normalized DOPE score
UCK1_5.B99990098.pdb	2010.649	-47634.17969	-0.89878
UCK1_5.B99990084.pdb	1978.3374	-47557.98047	-0.88605
UCK1_5.B99990024.pdb	2052.179	-47529.32422	-0.88126
UCK1_5.B99990065.pdb	2003.2429	-47523.94922	-0.88037
UCK1_5.B99990042.pdb	1986.4192	-47456.78906	-0.86915
UCK1_5.B99990017.pdb	2072.105	-47430.69531	-0.86479
UCK1_5.B99990053.pdb	2041.9054	-47378.40625	-0.85606
UCK1_5.B99990028.pdb	2041.2953	-47353.41797	-0.85188
UCK1_5.B99990009.pdb	2064.0264	-47345.96094	-0.85064
UCK1_5.B99990038.pdb	2057.7205	-47333.61719	-0.84858
UCK1_5.B99990020.pdb	2124.2034	-47317.64062	-0.84591
UCK1_5.B99990004.pdb	2095.2659	-47290.24609	-0.84133
UCK1_5.B99990072.pdb	1998.7086	-47270.20703	-0.83798
UCK1_5.B99990068.pdb	2197.9565	-47262.57031	-0.83671
UCK1_5.B99990014.pdb	2124.3069	-47240.58984	-0.83304
UCK1_5.B99990080.pdb	2067.9219	-47209.44141	-0.82783
UCK1_5.B99990051.pdb	1986.4047	-47207.78516	-0.82756
UCK1_5.B99990031.pdb	2072.0557	-47179.5625	-0.82284
UCK1_5.B99990074.pdb	2418.9065	-47178.28906	-0.82263
UCK1_5.B99990067.pdb	2767.9102	-47177.12109	-0.82244
UCK1_5.B99990003.pdb	2194.8887	-47147.35547	-0.81746
UCK1_5.B99990060.pdb	2132.6804	-47141.0	-0.8164
UCK1_5.B99990089.pdb	2035.006	-47124.53516	-0.81365
UCK1_5.B99990077.pdb	2162.6162	-47092.88281	-0.80836
UCK1_5.B99990041.pdb	2275.8721	-47060.47266	-0.80295
UCK1_5.B99990027.pdb	2325.092	-47050.26172	-0.80125
UCK1_5.B99990091.pdb	2342.3157	-47047.5625	-0.8008
UCK1_5.B99990083.pdb	2415.197	-47042.59766	-0.79997
UCK1_5.B99990040.pdb	2489.6863	-47025.21484	-0.79706
UCK1_5.B99990037.pdb	2281.0701	-47009.86328	-0.7945
UCK1_5.B99990056.pdb	2140.7224	-47006.03125	-0.79386
UCK1_5.B99990030.pdb	2333.9014	-46992.16016	-0.79154
UCK1_5.B99990063.pdb	2263.4355	-46985.65234	-0.79045
UCK1_5.B99990023.pdb	2412.2947	-46983.82422	-0.79015
UCK1_5.B99990057.pdb	2255.0833	-46966.78516	-0.7873
UCK1_5.B99990099.pdb	2382.6404	-46963.96875	-0.78683
UCK1_5.B99990070.pdb	2225.8975	-46963.32812	-0.78673
UCK1_5.B99990062.pdb	2069.647	-46956.62891	-0.78561
UCK1_5.B99990015.pdb	2149.6099	-46949.61328	-0.78443
UCK1_5.B99990061.pdb	2704.1455	-46947.08594	-0.78401
UCK1_5.B99990005.pdb	2190.1086	-46942.58594	-0.78326
UCK1_5.B99990100.pdb	2831.3838	-46908.8125	-0.77762
UCK1_5.B99990078.pdb	2728.812	-46904.17578	-0.77684
UCK1_5.B99990019.pdb	2289.3879	-46897.24609	-0.77569
UCK1_5.B99990047.pdb	2471.9617	-46889.13672	-0.77433
UCK1_5.B99990094.pdb	2334.6316	-46885.87109	-0.77379
UCK1_5.B99990007.pdb	2399.688	-46878.96484	-0.77263
UCK1_5.B99990012.pdb	3052.1865	-46878.58594	-0.77257
UCK1_5.B99990076.pdb	2381.3923	-46876.78125	-0.77227
UCK1_5.B99990088.pdb	2507.7419	-46867.19531	-0.77067
UCK1_5.B99990006.pdb	2591.3438	-46848.08594	-0.76748
UCK1_5.B99990096.pdb	2561.802	-46831.09766	-0.76464
UCK1_5.B99990013.pdb	2338.5679	-46815.79688	-0.76208
UCK1_5.B99990043.pdb	2343.4463	-46812.17578	-0.76148
UCK1_5.B99990086.pdb	2442.6797	-46798.94531	-0.75927
UCK1_5.B99990001.pdb	2407.6914	-46797.14844	-0.75897
UCK1_5.B99990035.pdb	2499.7336	-46777.84766	-0.75574
UCK1_5.B99990054.pdb	2520.0217	-46763.94922	-0.75342
UCK1_5.B99990055.pdb	3016.4961	-46746.44141	-0.7505
UCK1_5.B99990016.pdb	2523.896	-46743.28906	-0.74997
UCK1_5.B99990090.pdb	2503.7432	-46726.11328	-0.7471
UCK1_5.B99990036.pdb	2366.3521	-46683.88672	-0.74005
UCK1_5.B99990092.pdb	2361.6257	-46679.59766	-0.73933
UCK1_5.B99990011.pdb	2758.4744	-46679.10156	-0.73925
UCK1_5.B99990022.pdb	2847.6216	-46678.91406	-0.73922
UCK1_5.B99990081.pdb	2518.5808	-46677.92578	-0.73905
UCK1_5.B99990008.pdb	2399.6851	-46674.16406	-0.73843
UCK1_5.B99990002.pdb	2572.6208	-46667.3125	-0.73728
UCK1_5.B99990085.pdb	2316.7654	-46652.3125	-0.73478
UCK1_5.B99990050.pdb	2732.8918	-46634.96875	-0.73188
UCK1_5.B99990032.pdb	2346.2351	-46615.08594	-0.72856
UCK1_5.B99990045.pdb	2517.6135	-46610.78516	-0.72784
UCK1_5.B99990075.pdb	3089.7251	-46606.78906	-0.72717
UCK1_5.B99990052.pdb	2362.5239	-46606.29297	-0.72709
UCK1_5.B99990049.pdb	2433.113	-46605.23828	-0.72691
UCK1_5.B99990097.pdb	3024.8911	-46590.75781	-0.72449
UCK1_5.B99990071.pdb	2412.3643	-46575.11328	-0.72188
UCK1_5.B99990034.pdb	2703.2349	-46557.03516	-0.71886
UCK1_5.B99990048.pdb	2461.1199	-46555.35547	-0.71858
UCK1_5.B99990029.pdb	2829.5667	-46543.92188	-0.71667
UCK1_5.B99990018.pdb	3037.9846	-46531.43359	-0.71459
UCK1_5.B99990095.pdb	2551.7056	-46522.90625	-0.71316
UCK1_5.B99990059.pdb	2438.3845	-46480.92188	-0.70615
UCK1_5.B99990082.pdb	2505.0459	-46465.84375	-0.70363
UCK1_5.B99990044.pdb	2817.9263	-46430.02344	-0.69765
UCK1_5.B99990093.pdb	2635.4482	-46411.86328	-0.69461
UCK1_5.B99990073.pdb	2592.0205	-46410.5625	-0.6944
UCK1_5.B99990039.pdb	2633.2258	-46403.64453	-0.69324
UCK1_5.B99990046.pdb	2967.5928	-46390.05859	-0.69097
UCK1_5.B99990079.pdb	2987.8608	-46381.40625	-0.68953
UCK1_5.B99990026.pdb	2357.0583	-46376.90625	-0.68877
UCK1_5.B99990069.pdb	3397.6421	-46376.02344	-0.68863
UCK1_5.B99990021.pdb	2560.2815	-46363.55859	-0.68654
UCK1_5.B99990066.pdb	2581.1382	-46353.75781	-0.68491
UCK1_5.B99990033.pdb	2652.4043	-46331.48828	-0.68119
UCK1_5.B99990010.pdb	2465.377	-46306.36719	-0.67699
UCK1_5.B99990087.pdb	2893.2827	-46300.56641	-0.67602
UCK1_5.B99990058.pdb	3065.7302	-46246.34766	-0.66697
UCK1_5.B99990064.pdb	2593.115	-46205.19141	-0.66009
UCK1_5.B99990025.pdb	2812.3142	-45896.93359	-0.6086
