name	molpdf	DOPE score	Normalized DOPE score
GNMT_3.B99990026.pdb	4393.2183	-65490.05469	-0.93647
GNMT_3.B99990058.pdb	4434.1743	-65461.53906	-0.93286
GNMT_3.B99990014.pdb	4292.2251	-65430.39844	-0.92891
GNMT_3.B99990007.pdb	4337.1016	-65392.57422	-0.92412
GNMT_3.B99990038.pdb	4401.8291	-65374.29297	-0.9218
GNMT_3.B99990032.pdb	4519.0547	-65349.98047	-0.91872
GNMT_3.B99990099.pdb	4348.6665	-65336.83984	-0.91706
GNMT_3.B99990064.pdb	4490.7744	-65290.21484	-0.91115
GNMT_3.B99990040.pdb	4415.7661	-65285.17578	-0.91051
GNMT_3.B99990018.pdb	4316.2095	-65280.69531	-0.90995
GNMT_3.B99990002.pdb	4357.5933	-65271.82031	-0.90882
GNMT_3.B99990042.pdb	4380.397	-65265.94922	-0.90808
GNMT_3.B99990063.pdb	4414.3687	-65260.13672	-0.90734
GNMT_3.B99990020.pdb	4279.4507	-65253.97656	-0.90656
GNMT_3.B99990096.pdb	4319.252	-65229.65234	-0.90348
GNMT_3.B99990062.pdb	4486.9893	-65184.49609	-0.89776
GNMT_3.B99990095.pdb	4360.376	-65180.78125	-0.89729
GNMT_3.B99990051.pdb	4410.2046	-65121.89453	-0.88983
GNMT_3.B99990049.pdb	4439.2246	-65102.83594	-0.88741
GNMT_3.B99990010.pdb	4519.3237	-65102.27734	-0.88734
GNMT_3.B99990089.pdb	4464.5176	-65076.85547	-0.88412
GNMT_3.B99990092.pdb	4801.3657	-65062.21875	-0.88227
GNMT_3.B99990057.pdb	4572.1328	-65040.87891	-0.87956
GNMT_3.B99990060.pdb	5125.3662	-64996.55078	-0.87395
GNMT_3.B99990017.pdb	4448.6045	-64994.17188	-0.87365
GNMT_3.B99990055.pdb	4594.0747	-64969.30859	-0.8705
GNMT_3.B99990003.pdb	4714.0854	-64932.91016	-0.86588
GNMT_3.B99990022.pdb	4795.8491	-64915.14453	-0.86363
