name	molpdf	DOPE score	Normalized DOPE score
MVK_2.B99990065.pdb	4197.7969	-84138.96875	-0.84485
MVK_2.B99990098.pdb	4260.8369	-84117.45312	-0.84276
MVK_2.B99990059.pdb	4347.9731	-84042.10156	-0.83547
MVK_2.B99990048.pdb	4199.1377	-84033.33594	-0.83463
MVK_2.B99990081.pdb	4399.0698	-84020.09375	-0.83334
MVK_2.B99990024.pdb	4369.9351	-84018.95312	-0.83323
MVK_2.B99990038.pdb	4171.5088	-84012.84375	-0.83264
MVK_2.B99990009.pdb	4218.6943	-84011.69531	-0.83253
MVK_2.B99990004.pdb	4322.1104	-83995.64844	-0.83098
MVK_2.B99990096.pdb	4145.8013	-83989.72656	-0.83041
MVK_2.B99990072.pdb	4183.9893	-83987.96094	-0.83024
MVK_2.B99990036.pdb	4223.5107	-83984.30469	-0.82988
MVK_2.B99990057.pdb	4421.8789	-83976.41406	-0.82912
MVK_2.B99990049.pdb	4242.9155	-83966.42188	-0.82815
MVK_2.B99990058.pdb	4157.896	-83963.29688	-0.82785
MVK_2.B99990001.pdb	4252.3022	-83950.07812	-0.82657
MVK_2.B99990093.pdb	4157.689	-83945.3125	-0.82611
MVK_2.B99990051.pdb	4261.8828	-83944.02344	-0.82598
MVK_2.B99990094.pdb	4202.7134	-83931.80469	-0.8248
MVK_2.B99990045.pdb	4181.5107	-83925.26562	-0.82417
MVK_2.B99990055.pdb	4214.2456	-83919.30469	-0.82359
MVK_2.B99990086.pdb	4235.5454	-83917.64062	-0.82343
MVK_2.B99990091.pdb	4287.3735	-83895.875	-0.82133
MVK_2.B99990028.pdb	4190.4258	-83890.41406	-0.8208
MVK_2.B99990034.pdb	4249.0752	-83881.07031	-0.81989
MVK_2.B99990061.pdb	4224.4917	-83877.54688	-0.81955
MVK_2.B99990070.pdb	4354.4258	-83863.39844	-0.81818
MVK_2.B99990003.pdb	4124.2778	-83861.13281	-0.81796
MVK_2.B99990023.pdb	4151.125	-83844.92969	-0.8164
MVK_2.B99990032.pdb	4352.2451	-83844.13281	-0.81632
MVK_2.B99990030.pdb	4165.4824	-83832.13281	-0.81516
MVK_2.B99990085.pdb	4386.3276	-83831.26562	-0.81508
MVK_2.B99990033.pdb	4390.5513	-83826.61719	-0.81463
MVK_2.B99990011.pdb	4254.0952	-83817.72656	-0.81377
MVK_2.B99990002.pdb	4232.4346	-83809.03125	-0.81292
MVK_2.B99990054.pdb	4213.168	-83798.28906	-0.81188
MVK_2.B99990050.pdb	4320.3774	-83796.73438	-0.81173
MVK_2.B99990015.pdb	4296.6519	-83794.88281	-0.81156
MVK_2.B99990027.pdb	4217.4175	-83791.03125	-0.81118
MVK_2.B99990060.pdb	4305.5029	-83790.6875	-0.81115
MVK_2.B99990100.pdb	4390.7656	-83775.875	-0.80972
MVK_2.B99990006.pdb	4190.4233	-83762.32812	-0.80841
MVK_2.B99990047.pdb	4243.0688	-83754.1875	-0.80762
MVK_2.B99990025.pdb	4331.6572	-83737.53125	-0.80601
MVK_2.B99990035.pdb	4212.4966	-83718.53125	-0.80417
MVK_2.B99990080.pdb	4156.4878	-83717.9375	-0.80411
MVK_2.B99990010.pdb	4292.3652	-83716.80469	-0.804
MVK_2.B99990092.pdb	4213.479	-83714.75781	-0.8038
MVK_2.B99990077.pdb	4349.1924	-83703.92188	-0.80275
MVK_2.B99990064.pdb	4737.2798	-83691.78125	-0.80158
MVK_2.B99990044.pdb	4213.1455	-83688.80469	-0.80129
MVK_2.B99990014.pdb	4523.1133	-83687.57031	-0.80117
MVK_2.B99990071.pdb	4197.8486	-83686.1875	-0.80104
MVK_2.B99990046.pdb	4394.7852	-83680.24219	-0.80046
MVK_2.B99990078.pdb	4191.8462	-83674.10938	-0.79987
MVK_2.B99990012.pdb	4334.6255	-83673.32031	-0.79979
MVK_2.B99990041.pdb	4222.2354	-83672.97656	-0.79976
MVK_2.B99990040.pdb	4300.2886	-83663.13281	-0.79881
MVK_2.B99990016.pdb	4465.8774	-83662.54688	-0.79875
MVK_2.B99990062.pdb	4429.0996	-83658.19531	-0.79833
MVK_2.B99990039.pdb	4603.4658	-83637.98438	-0.79638
MVK_2.B99990068.pdb	4354.5942	-83634.44531	-0.79603
MVK_2.B99990099.pdb	4262.4341	-83632.78906	-0.79587
MVK_2.B99990076.pdb	4211.8091	-83632.78125	-0.79587
MVK_2.B99990008.pdb	4209.6392	-83623.04688	-0.79493
MVK_2.B99990063.pdb	4442.751	-83622.92188	-0.79492
MVK_2.B99990019.pdb	4836.9331	-83622.39062	-0.79487
MVK_2.B99990089.pdb	4351.7661	-83597.53125	-0.79246
MVK_2.B99990074.pdb	4148.0093	-83588.44531	-0.79158
MVK_2.B99990022.pdb	4205.5107	-83578.79688	-0.79065
MVK_2.B99990087.pdb	4336.4009	-83574.71875	-0.79025
MVK_2.B99990021.pdb	4282.6772	-83558.02344	-0.78864
MVK_2.B99990069.pdb	4265.6509	-83545.44531	-0.78742
MVK_2.B99990066.pdb	4354.4038	-83543.03125	-0.78719
MVK_2.B99990037.pdb	4392.4102	-83533.64062	-0.78628
MVK_2.B99990079.pdb	4264.3887	-83527.39062	-0.78568
MVK_2.B99990084.pdb	4351.0581	-83515.66406	-0.78454
MVK_2.B99990020.pdb	4298.083	-83513.35156	-0.78432
MVK_2.B99990088.pdb	4410.0576	-83511.07812	-0.7841
MVK_2.B99990043.pdb	4316.6157	-83478.00781	-0.7809
MVK_2.B99990067.pdb	4449.4785	-83470.10156	-0.78013
MVK_2.B99990056.pdb	4266.7144	-83419.69531	-0.77526
MVK_2.B99990095.pdb	4754.7798	-83410.41406	-0.77436
MVK_2.B99990083.pdb	4475.6055	-83409.3125	-0.77425
MVK_2.B99990031.pdb	4350.5068	-83400.875	-0.77343
MVK_2.B99990017.pdb	4755.6162	-83394.49219	-0.77282
MVK_2.B99990075.pdb	4501.1943	-83379.01562	-0.77132
MVK_2.B99990090.pdb	4400.9365	-83364.59375	-0.76992
MVK_2.B99990007.pdb	4436.5273	-83342.14062	-0.76775
MVK_2.B99990097.pdb	4403.9229	-83338.17188	-0.76737
MVK_2.B99990018.pdb	4478.1606	-83335.71875	-0.76713
MVK_2.B99990073.pdb	4372.8525	-83299.17188	-0.76359
MVK_2.B99990082.pdb	4640.0664	-83293.88281	-0.76308
MVK_2.B99990052.pdb	4519.7632	-83265.89062	-0.76037
MVK_2.B99990013.pdb	4500.9087	-83214.0625	-0.75536
MVK_2.B99990029.pdb	4386.8423	-83191.27344	-0.75316
MVK_2.B99990053.pdb	4488.272	-83186.04688	-0.75265
