Base_Isoform	Isoform_ID	Interactor_ID	Y2H_Result	Source	Structure_Recommendation
BCL2L1	BCL2L1_1	BAD	positive	StructMAn	Q07817_S0__Q92934_S0__AF1:A:B
BCL2L1	BCL2L1_1	BMF	positive	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1:A:B
BCL2L1	BCL2L1_2	BAD	negative	StructMAn	Q07817_S0__Q92934_S0__AF1:A:B
BCL2L1	BCL2L1_2	BMF	negative	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1:A:B
BCL2L1	BCL2L1_3	BAD	negative	StructMAn	Q07817_S0__Q92934_S0__AF1:A:B
BCL2L1	BCL2L1_3	BMF	positive	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1:A:B
COG7	COG7_1	COG5	negative	StructMAn	P83436_S1__Q9UP83_S0__AF:A:B
COG7	COG7_3	COG5	positive	StructMAn	P83436_S1__Q9UP83_S0__AF:A:B
E2F6	E2F6_1	TFDP1	positive	StructMAn	Q01094_S0__Q14186_S0__AFMM1:A:B
E2F6	E2F6_1	TFDP2	positive	StructMAn	Q01094_S0__Q14186_S0__AFMM1:A:B
E2F6	E2F6_3	TFDP1	negative	StructMAn	Q01094_S0__Q14186_S0__AFMM1:A:B
E2F6	E2F6_3	TFDP2	negative	StructMAn	Q01094_S0__Q14186_S0__AFMM1:A:B
GNMT	GNMT_1	GNMT	positive	StructMAn	3THS:B:A
GNMT	GNMT_3	GNMT	positive	StructMAn	3THS:B:A
GNMT	GNMT_4	GNMT	negative	StructMAn	3THS:B:A
MVK	MVK_1	MVK	positive	MMseqs2	2R3V:A:B
MVK	MVK_1	MVK	positive	MMseqs2	2R3V:B:A
MVK	MVK_1	MVK	positive	StructMAn	4HAC:A:B
MVK	MVK_1	MVK	positive	StructMAn	4HAC:B:A
MVK	MVK_2	MVK	negative	MMseqs2	2R3V:A:B
MVK	MVK_2	MVK	negative	MMseqs2	2R3V:B:A
MVK	MVK_2	MVK	negative	StructMAn	4HAC:A:B
MVK	MVK_2	MVK	negative	StructMAn	4HAC:B:A
NPM1	NPM1_1	NPM2	positive	StructMAn	P06748_S0__Q86SE8_S0__AFMM1:B:A
NPM1	NPM1_2	NPM2	negative	StructMAn	P06748_S0__Q86SE8_S0__AFMM1:B:A
PPP3CA	PPP3CA_1	PPP3R1	positive	MMseqs2	4OR9:A:B
PPP3CA	PPP3CA_1	PPP3R1	positive	StructMAn	4ORC:A:B
PPP3CA	PPP3CA_2	PPP3R1	negative	MMseqs2	4OR9:A:B
PPP3CA	PPP3CA_2	PPP3R1	negative	StructMAn	4ORC:A:B
RXRB	RXRB_1	NR1H3	positive	MMseqs2	4NQA:A:B
RXRB	RXRB_1	RARA_ORF1	positive	MMseqs2	5UAN:A:B
RXRB	RXRB_1	RARA_ORF2	positive	MMseqs2	5UAN:A:B
RXRB	RXRB_1	RARB	positive	MMseqs2	5UAN:A:B
RXRB	RXRB_1	RARB	positive	StructMAn	4IQR:B:A
RXRB	RXRB_2	NR1H3	positive	MMseqs2	4NQA:A:B
RXRB	RXRB_2	RARA_ORF1	positive	MMseqs2	5UAN:A:B
RXRB	RXRB_2	RARB	positive	MMseqs2	5UAN:A:B
RXRB	RXRB_2	RARB	positive	StructMAn	4IQR:B:A
RXRB	RXRB_3	RARB	negative	MMseqs2	5UAN:A:B
RXRB	RXRB_3	RARB	negative	StructMAn	4IQR:B:A
RXRB	RXRB_4	NR1H3	negative	MMseqs2	4NQA:A:B
RXRB	RXRB_4	RARA_ORF1	negative	MMseqs2	5UAN:A:B
RXRB	RXRB_4	RARA_ORF2	negative	MMseqs2	5UAN:A:B
RXRB	RXRB_4	RARB	negative	MMseqs2	5UAN:A:B
UCK1	UCK1_1	UCK1	negative	MMseqs2	9SGF:A:B
UCK1	UCK1_1	UCK1	negative	MMseqs2	9SGF:B:A
UCK1	UCK1_3	UCK1	negative	MMseqs2	9SGF:A:B
UCK1	UCK1_3	UCK1	negative	MMseqs2	9SGF:B:A
UCK1	UCK1_3	UCK1	negative	StructMAn	6PWZ:H:B
UCK1	UCK1_5	UCK1	positive	MMseqs2	9SGF:A:B
UCK1	UCK1_5	UCK1	positive	MMseqs2	9SGF:B:A
UCK1	UCK1_5	UCK1	positive	StructMAn	6PWZ:H:B
UPP2	UPP2_1	UPP2	positive	Both	2XRF:C:B
UPP2	UPP2_1	UPP2	positive	MMseqs2	2XRF:B:C
UPP2	UPP2_2	UPP2	positive	Both	2XRF:C:B
UPP2	UPP2_2	UPP2	positive	MMseqs2	2XRF:B:C
UPP2	UPP2_3	UPP2	negative	Both	2XRF:C:B
UPP2	UPP2_3	UPP2	negative	MMseqs2	2XRF:B:C
UPP2	UPP2_4	UPP2	negative	StructMAn	2XRF:C:B
