name	molpdf	DOPE score	Normalized DOPE score
MVK_1.B99990054.pdb	3846.7141	-94221.625	-1.13925
MVK_1.B99990070.pdb	3831.5664	-94201.04688	-1.1374
MVK_1.B99990030.pdb	3868.9724	-94197.76562	-1.1371
MVK_1.B99990065.pdb	3851.3401	-94152.90625	-1.13306
MVK_1.B99990092.pdb	3800.2263	-94092.91406	-1.12765
MVK_1.B99990039.pdb	3875.1467	-94082.53906	-1.12672
MVK_1.B99990072.pdb	3802.698	-94064.09375	-1.12506
MVK_1.B99990085.pdb	3932.1831	-94063.0625	-1.12496
MVK_1.B99990067.pdb	3829.9133	-94024.17188	-1.12146
MVK_1.B99990003.pdb	3823.4397	-94001.71875	-1.11944
MVK_1.B99990045.pdb	3878.2974	-93986.36719	-1.11805
MVK_1.B99990082.pdb	3809.4956	-93985.0	-1.11793
MVK_1.B99990001.pdb	4032.0776	-93982.70312	-1.11772
MVK_1.B99990042.pdb	3831.196	-93967.625	-1.11636
MVK_1.B99990073.pdb	3830.6006	-93967.41406	-1.11635
MVK_1.B99990061.pdb	3771.1958	-93936.4375	-1.11355
MVK_1.B99990041.pdb	3793.198	-93907.54688	-1.11095
MVK_1.B99990096.pdb	3821.6448	-93898.48438	-1.11014
MVK_1.B99990093.pdb	3861.3254	-93879.85156	-1.10846
MVK_1.B99990068.pdb	4115.6929	-93879.78906	-1.10845
MVK_1.B99990081.pdb	3895.6018	-93879.05469	-1.10838
MVK_1.B99990097.pdb	3815.1458	-93878.21875	-1.10831
MVK_1.B99990017.pdb	3992.8396	-93849.5	-1.10572
MVK_1.B99990055.pdb	4023.3821	-93835.625	-1.10447
MVK_1.B99990044.pdb	4091.7573	-93826.45312	-1.10364
MVK_1.B99990018.pdb	3977.8892	-93824.09375	-1.10343
MVK_1.B99990098.pdb	3935.0679	-93809.39844	-1.10211
MVK_1.B99990071.pdb	4090.7249	-93805.125	-1.10172
MVK_1.B99990057.pdb	3772.7441	-93803.71875	-1.1016
MVK_1.B99990029.pdb	3832.0583	-93796.26562	-1.10092
MVK_1.B99990006.pdb	3777.5171	-93790.60156	-1.10041
MVK_1.B99990087.pdb	3810.9641	-93785.17969	-1.09993
MVK_1.B99990015.pdb	3921.72	-93784.04688	-1.09982
MVK_1.B99990050.pdb	3908.6987	-93783.94531	-1.09981
MVK_1.B99990047.pdb	4023.0298	-93768.71094	-1.09844
MVK_1.B99990095.pdb	3782.073	-93767.72656	-1.09835
MVK_1.B99990040.pdb	3862.4368	-93765.03906	-1.09811
MVK_1.B99990024.pdb	3960.4292	-93760.60156	-1.09771
MVK_1.B99990023.pdb	3816.6055	-93760.21875	-1.09768
MVK_1.B99990076.pdb	3895.8347	-93756.30469	-1.09732
MVK_1.B99990077.pdb	3932.1743	-93746.77344	-1.09647
MVK_1.B99990083.pdb	3813.208	-93723.96094	-1.09441
MVK_1.B99990027.pdb	4613.2061	-93717.86719	-1.09386
MVK_1.B99990010.pdb	3843.063	-93717.76562	-1.09385
MVK_1.B99990060.pdb	3731.0647	-93711.60938	-1.0933
MVK_1.B99990007.pdb	4105.9199	-93709.09375	-1.09307
MVK_1.B99990037.pdb	3824.22	-93708.71094	-1.09304
MVK_1.B99990090.pdb	3779.9316	-93694.42969	-1.09175
MVK_1.B99990048.pdb	3770.0249	-93689.64062	-1.09132
MVK_1.B99990028.pdb	4018.7637	-93669.61719	-1.08951
MVK_1.B99990009.pdb	3743.0142	-93659.82812	-1.08863
MVK_1.B99990086.pdb	3838.7334	-93657.77344	-1.08845
MVK_1.B99990011.pdb	3837.3	-93656.80469	-1.08836
MVK_1.B99990079.pdb	4019.991	-93653.49219	-1.08806
MVK_1.B99990038.pdb	3920.6687	-93642.33594	-1.08706
MVK_1.B99990002.pdb	4151.2964	-93640.25	-1.08687
MVK_1.B99990089.pdb	4059.1252	-93635.14062	-1.08641
MVK_1.B99990025.pdb	4156.6074	-93635.0625	-1.0864
MVK_1.B99990034.pdb	3824.4714	-93633.67188	-1.08627
MVK_1.B99990022.pdb	4285.437	-93620.17188	-1.08506
MVK_1.B99990020.pdb	3878.1619	-93619.82812	-1.08503
MVK_1.B99990021.pdb	4113.4048	-93618.1875	-1.08488
MVK_1.B99990052.pdb	4062.7393	-93617.13281	-1.08478
MVK_1.B99990078.pdb	3928.5339	-93610.63281	-1.0842
MVK_1.B99990049.pdb	3847.7271	-93597.94531	-1.08306
MVK_1.B99990035.pdb	3877.8843	-93590.79688	-1.08241
MVK_1.B99990094.pdb	3950.5833	-93585.6875	-1.08195
MVK_1.B99990005.pdb	3830.0278	-93585.34375	-1.08192
MVK_1.B99990091.pdb	4273.375	-93565.33594	-1.08012
MVK_1.B99990051.pdb	3978.1321	-93551.39844	-1.07886
MVK_1.B99990063.pdb	3796.4272	-93542.51562	-1.07806
MVK_1.B99990014.pdb	4168.8823	-93540.48438	-1.07788
MVK_1.B99990064.pdb	3989.4441	-93528.50781	-1.0768
MVK_1.B99990012.pdb	3984.5315	-93522.61719	-1.07627
MVK_1.B99990033.pdb	4048.106	-93501.53125	-1.07437
MVK_1.B99990046.pdb	4126.6953	-93500.02344	-1.07423
MVK_1.B99990043.pdb	4090.335	-93482.05469	-1.07261
MVK_1.B99990056.pdb	3904.9343	-93480.39062	-1.07246
MVK_1.B99990084.pdb	3942.5254	-93471.60156	-1.07167
MVK_1.B99990080.pdb	4028.9082	-93462.48438	-1.07085
MVK_1.B99990031.pdb	4000.5986	-93456.19531	-1.07028
MVK_1.B99990036.pdb	4516.3086	-93450.82031	-1.0698
MVK_1.B99990019.pdb	4145.3628	-93442.54688	-1.06905
MVK_1.B99990074.pdb	4021.3186	-93438.14062	-1.06866
MVK_1.B99990026.pdb	3909.7595	-93431.84375	-1.06809
MVK_1.B99990013.pdb	4283.8936	-93428.97656	-1.06783
MVK_1.B99990100.pdb	3960.3372	-93415.20312	-1.06659
MVK_1.B99990016.pdb	4097.3496	-93402.29688	-1.06543
MVK_1.B99990099.pdb	3853.0437	-93401.02344	-1.06531
MVK_1.B99990053.pdb	3992.8193	-93387.96875	-1.06414
MVK_1.B99990069.pdb	3985.7642	-93372.90625	-1.06278
MVK_1.B99990062.pdb	4198.2183	-93325.33594	-1.05849
MVK_1.B99990059.pdb	3933.156	-93315.20312	-1.05758
MVK_1.B99990058.pdb	4092.3628	-93315.03906	-1.05756
MVK_1.B99990004.pdb	4228.5405	-93305.6875	-1.05672
MVK_1.B99990075.pdb	3958.5815	-93303.60156	-1.05653
MVK_1.B99990032.pdb	4083.4873	-93248.53906	-1.05157
MVK_1.B99990088.pdb	4052.5732	-93239.30469	-1.05074
MVK_1.B99990066.pdb	4110.4438	-93220.16406	-1.04902
MVK_1.B99990008.pdb	4063.6013	-93144.16406	-1.04217
