Isoform_Comparison	Interactor_ID	Source	Template	Interactor_CA_Pairs	Interactor_CA_RMSD_Angstrom	Shared_Contacts	Lost_in_Y2H_Positive	Gained_in_Y2H_Positive	Mapped_Contact_Jaccard
GNMT_4 (Y2H-) vs GNMT_1 (Y2H+)	GNMT	StructMAn	3THS (B:A)	283	0.4524	200	9	34	0.823
GNMT_4 (Y2H-) vs GNMT_3 (Y2H+)	GNMT	StructMAn	3THS (B:A)	283	0.372	197	12	35	0.8074
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	MMseqs2	2R3V (A:B)	388	0.2511	92	4	8	0.8846
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	MMseqs2	2R3V (B:A)	390	0.2456	85	10	11	0.8019
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	StructMAn	4HAC (A:B)	308	0.1264	96	15	16	0.7559
MVK_2 (Y2H-) vs MVK_1 (Y2H+)	MVK	StructMAn	4HAC (B:A)	312	0.4244	105	12	11	0.8203
PPP3CA_2 (Y2H-) vs PPP3CA_1 (Y2H+)	PPP3R1	MMseqs2	4OR9 (A:B)	166	0.1857	259	29	16	0.852
PPP3CA_2 (Y2H-) vs PPP3CA_1 (Y2H+)	PPP3R1	StructMAn	4ORC (A:B)	166	0.1587	225	40	25	0.7759
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	NR1H3	MMseqs2	4NQA (A:B)	369	0.9841	158	76	74	0.513
RXRB_4 (Y2H-) vs RXRB_2 (Y2H+)	NR1H3	MMseqs2	4NQA (A:B)	369	1.9487	156	78	85	0.489
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	RARA_ORF1	MMseqs2	5UAN (A:B)	308	0.4328	86	109	8	0.4236
RXRB_4 (Y2H-) vs RXRB_2 (Y2H+)	RARA_ORF1	MMseqs2	5UAN (A:B)	308	0.3077	97	98	12	0.4686
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	RARA_ORF2	MMseqs2	5UAN (A:B)	308	0.4328	86	109	8	0.4236
RXRB_3 (Y2H-) vs RXRB_1 (Y2H+)	RARB	StructMAn	4IQR (B:A)	302	0.1358	129	32	42	0.6355
RXRB_3 (Y2H-) vs RXRB_1 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.3137	85	14	9	0.787
RXRB_3 (Y2H-) vs RXRB_2 (Y2H+)	RARB	StructMAn	4IQR (B:A)	302	0.1187	139	22	34	0.7128
RXRB_3 (Y2H-) vs RXRB_2 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.2027	85	14	24	0.6911
RXRB_4 (Y2H-) vs RXRB_1 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.4328	86	109	8	0.4236
RXRB_4 (Y2H-) vs RXRB_2 (Y2H+)	RARB	MMseqs2	5UAN (A:B)	308	0.3077	97	98	12	0.4686
UCK1_1 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (A:B)	213	0.1146	7	0	74	0.0864
UCK1_1 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (B:A)	213	0.1142	8	5	75	0.0909
UCK1_3 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	StructMAn	6PWZ (H:B)	215	0.1107	84	5	5	0.8936
UCK1_3 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (A:B)	213	0.1239	78	2	3	0.9398
UCK1_3 (Y2H-) vs UCK1_5 (Y2H+)	UCK1	MMseqs2	9SGF (B:A)	213	0.1334	82	7	1	0.9111
UPP2_3 (Y2H-) vs UPP2_1 (Y2H+)	UPP2	MMseqs2	2XRF (B:C)	286	0.2439	282	17	38	0.8368
UPP2_3 (Y2H-) vs UPP2_1 (Y2H+)	UPP2	Both	2XRF (C:B)	288	0.2578	279	17	40	0.8304
UPP2_3 (Y2H-) vs UPP2_2 (Y2H+)	UPP2	MMseqs2	2XRF (B:C)	286	0.2621	263	36	38	0.7804
UPP2_3 (Y2H-) vs UPP2_2 (Y2H+)	UPP2	Both	2XRF (C:B)	288	0.2657	264	32	40	0.7857
UPP2_4 (Y2H-) vs UPP2_1 (Y2H+)	UPP2	StructMAn	2XRF (C:B)	288	0.121	53	4	266	0.1641
UPP2_4 (Y2H-) vs UPP2_2 (Y2H+)	UPP2	StructMAn	2XRF (C:B)	288	0.1281	53	4	251	0.1721
