name	molpdf	DOPE score	Normalized DOPE score
PPP3CA_1.B99990028.pdb	5599.0723	-77198.64844	-0.84591
PPP3CA_1.B99990019.pdb	5600.9331	-76897.33594	-0.81439
PPP3CA_1.B99990021.pdb	5647.3408	-76870.39844	-0.81157
PPP3CA_1.B99990066.pdb	5755.4629	-76856.82812	-0.81015
PPP3CA_1.B99990047.pdb	5567.2925	-76817.0	-0.80598
PPP3CA_1.B99990037.pdb	5630.1997	-76776.74219	-0.80177
PPP3CA_1.B99990057.pdb	5568.6055	-76774.85938	-0.80158
PPP3CA_1.B99990082.pdb	5671.6714	-76714.8125	-0.79529
PPP3CA_1.B99990084.pdb	5882.4478	-76697.58594	-0.79349
PPP3CA_1.B99990011.pdb	5771.8994	-76666.29688	-0.79022
PPP3CA_1.B99990072.pdb	5603.3359	-76586.25781	-0.78185
PPP3CA_1.B99990035.pdb	6006.0962	-76573.89844	-0.78055
PPP3CA_1.B99990097.pdb	5651.7612	-76565.05469	-0.77963
PPP3CA_1.B99990075.pdb	6092.0894	-76562.99219	-0.77941
PPP3CA_1.B99990024.pdb	6177.9854	-76531.32812	-0.7761
PPP3CA_1.B99990051.pdb	5723.9258	-76527.55469	-0.7757
PPP3CA_1.B99990034.pdb	5712.5879	-76525.75781	-0.77552
PPP3CA_1.B99990100.pdb	5604.9473	-76511.04688	-0.77398
PPP3CA_1.B99990031.pdb	5820.3472	-76507.52344	-0.77361
PPP3CA_1.B99990026.pdb	6787.4336	-76503.39062	-0.77318
PPP3CA_1.B99990091.pdb	5753.6689	-76478.85938	-0.77061
PPP3CA_1.B99990061.pdb	5836.3643	-76450.67969	-0.76766
PPP3CA_1.B99990027.pdb	5783.8213	-76431.94531	-0.7657
PPP3CA_1.B99990015.pdb	5580.791	-76415.5	-0.76398
PPP3CA_1.B99990099.pdb	5930.917	-76353.54688	-0.7575
PPP3CA_1.B99990032.pdb	5916.375	-76347.0625	-0.75682
PPP3CA_1.B99990025.pdb	6252.0308	-76343.80469	-0.75648
PPP3CA_1.B99990004.pdb	5978.7725	-76334.85938	-0.75555
PPP3CA_1.B99990092.pdb	5590.8164	-76300.66406	-0.75197
PPP3CA_1.B99990096.pdb	6492.4189	-76190.85938	-0.74048
PPP3CA_1.B99990022.pdb	5840.1523	-76139.17188	-0.73508
PPP3CA_1.B99990016.pdb	5848.5488	-76130.09375	-0.73413
PPP3CA_1.B99990054.pdb	6184.3315	-76086.76562	-0.72959
PPP3CA_1.B99990013.pdb	5850.0869	-76083.91406	-0.7293
PPP3CA_1.B99990062.pdb	6344.9854	-76057.39844	-0.72652
PPP3CA_1.B99990070.pdb	6217.6313	-76048.09375	-0.72555
PPP3CA_1.B99990033.pdb	6311.3887	-76041.67969	-0.72488
PPP3CA_1.B99990059.pdb	6375.9116	-76017.61719	-0.72236
PPP3CA_1.B99990044.pdb	5824.4878	-76005.80469	-0.72112
PPP3CA_1.B99990094.pdb	5893.8813	-75980.35156	-0.71846
PPP3CA_1.B99990067.pdb	6053.5566	-75975.96875	-0.718
PPP3CA_1.B99990085.pdb	6196.5137	-75974.11719	-0.71781
PPP3CA_1.B99990098.pdb	6212.75	-75968.60938	-0.71723
PPP3CA_1.B99990012.pdb	5983.7148	-75935.8125	-0.7138
PPP3CA_1.B99990086.pdb	6347.2334	-75925.39062	-0.71271
PPP3CA_1.B99990087.pdb	6839.0884	-75916.82812	-0.71182
PPP3CA_1.B99990064.pdb	6169.8687	-75873.21094	-0.70725
PPP3CA_1.B99990020.pdb	6469.9365	-75826.11719	-0.70233
PPP3CA_1.B99990046.pdb	6809.2842	-75822.375	-0.70194
PPP3CA_1.B99990030.pdb	6331.5537	-75801.92969	-0.6998
PPP3CA_1.B99990060.pdb	6157.1309	-75782.00781	-0.69771
PPP3CA_1.B99990058.pdb	6789.6772	-75776.75	-0.69716
PPP3CA_1.B99990006.pdb	6703.5776	-75741.10938	-0.69343
PPP3CA_1.B99990083.pdb	6302.2539	-75721.66406	-0.6914
PPP3CA_1.B99990038.pdb	6755.6377	-75702.44531	-0.68939
PPP3CA_1.B99990053.pdb	6392.6982	-75667.80469	-0.68577
PPP3CA_1.B99990045.pdb	6636.1753	-75665.35938	-0.68551
PPP3CA_1.B99990089.pdb	6618.082	-75651.13281	-0.68402
PPP3CA_1.B99990023.pdb	6663.6328	-75650.69531	-0.68398
PPP3CA_1.B99990080.pdb	6136.1641	-75626.39844	-0.68143
PPP3CA_1.B99990052.pdb	6386.9956	-75601.9375	-0.67888
PPP3CA_1.B99990065.pdb	6472.7139	-75569.53906	-0.67549
PPP3CA_1.B99990093.pdb	6611.7715	-75568.60156	-0.67539
PPP3CA_1.B99990042.pdb	6371.7886	-75562.07031	-0.6747
PPP3CA_1.B99990068.pdb	6928.8511	-75554.07812	-0.67387
PPP3CA_1.B99990078.pdb	6929.2031	-75551.03125	-0.67355
PPP3CA_1.B99990041.pdb	6742.6392	-75542.67188	-0.67268
PPP3CA_1.B99990009.pdb	6557.2354	-75511.23438	-0.66939
PPP3CA_1.B99990029.pdb	6738.5479	-75504.99219	-0.66873
PPP3CA_1.B99990090.pdb	6749.2578	-75503.32031	-0.66856
PPP3CA_1.B99990003.pdb	7156.8188	-75495.71875	-0.66776
PPP3CA_1.B99990008.pdb	7096.0854	-75468.3125	-0.6649
PPP3CA_1.B99990040.pdb	6472.001	-75451.1875	-0.66311
PPP3CA_1.B99990073.pdb	6565.7246	-75402.32812	-0.65799
PPP3CA_1.B99990018.pdb	6280.3589	-75395.10156	-0.65724
PPP3CA_1.B99990055.pdb	6496.6553	-75381.57812	-0.65582
PPP3CA_1.B99990050.pdb	6580.4907	-75354.65625	-0.65301
PPP3CA_1.B99990002.pdb	6856.2104	-75325.20312	-0.64993
PPP3CA_1.B99990010.pdb	6412.1021	-75290.35156	-0.64628
PPP3CA_1.B99990081.pdb	6160.8721	-75279.65625	-0.64516
PPP3CA_1.B99990049.pdb	7851.998	-75258.79688	-0.64298
PPP3CA_1.B99990077.pdb	6677.8315	-75258.40625	-0.64294
PPP3CA_1.B99990074.pdb	5989.7451	-75250.71094	-0.64213
PPP3CA_1.B99990039.pdb	7596.5088	-75224.5625	-0.6394
PPP3CA_1.B99990076.pdb	6771.3174	-75209.02344	-0.63777
PPP3CA_1.B99990063.pdb	6692.334	-75135.5	-0.63008
PPP3CA_1.B99990088.pdb	6587.6074	-75130.60938	-0.62957
PPP3CA_1.B99990079.pdb	6689.7363	-75108.64062	-0.62727
PPP3CA_1.B99990069.pdb	6963.7808	-75071.67188	-0.6234
PPP3CA_1.B99990005.pdb	6856.9697	-74972.51562	-0.61303
PPP3CA_1.B99990071.pdb	7533.0308	-74948.6875	-0.61054
PPP3CA_1.B99990017.pdb	7893.5063	-74943.48438	-0.60999
PPP3CA_1.B99990048.pdb	6764.2031	-74879.125	-0.60326
PPP3CA_1.B99990014.pdb	6924.022	-74864.75781	-0.60176
PPP3CA_1.B99990095.pdb	7845.5361	-74819.08594	-0.59698
PPP3CA_1.B99990043.pdb	7170.6367	-74791.86719	-0.59413
PPP3CA_1.B99990007.pdb	7236.4038	-74772.27344	-0.59208
PPP3CA_1.B99990036.pdb	6670.2192	-74752.25	-0.58999
PPP3CA_1.B99990056.pdb	7078.6802	-74711.50781	-0.58573
PPP3CA_1.B99990001.pdb	7574.957	-74700.52344	-0.58458
