Comparison_ID	Iso_Comparison	Base_Iso	Iso_1	Iso_2	Inter_ID	Interaction_Found_1	Interaction_Found_2	Source	Base_Tpl	Tpl_Iso_Chain	Tpl_Inter_Chain	Model_Name_1	Model_Name_2	Inter_CA_Pairs	Inter_CA_RMSD	Iso_Sequence_Identity	Iso_Alignment_Coverage_1	Iso_Alignment_Coverage_2	Iso_1_Interface_Residue_Count	Iso_2_Interface_Residue_Count	Shared_Inter_Interface_Residue_Count	Lost_Inter_Interface_Residue_Count	Gained_Inter_Interface_Residue_Count	Inter_Interface_Jaccard	Shared_Mapped_Contact_Count	Lost_Mapped_Contact_Count	Gained_Mapped_Contact_Count	Mapped_Contact_Jaccard	FoldX_Interaction_Energy_1	FoldX_Interaction_Energy_2	FoldX_Energy_Difference_Positive_Minus_Negative	FoldX_Energy_Direction	FoldX_Direction_Matches_Y2H
BCL2L1_2__vs__BCL2L1_1__BAD__Q07817_S0__Q92934_S0__AF1__A__B	BCL2L1_2__vs__BCL2L1_1	BCL2L1	BCL2L1_2	BCL2L1_1	BAD	negative	positive	StructMAn	Q07817_S0__Q92934_S0__AF1	A	B	BCL2L1_2.B99990096.pdb	BCL2L1_1.B99990017.pdb	50	6.8538	1.0	1.0	0.7296	29	50	22	3	2	0.8148	67	11	63	0.4752	-19.7766	-33.3565	-13.579899999999999	positive_iso_more_favorable	yes
BCL2L1_3__vs__BCL2L1_1__BAD__Q07817_S0__Q92934_S0__AF1__A__B	BCL2L1_3__vs__BCL2L1_1	BCL2L1	BCL2L1_3	BCL2L1_1	BAD	negative	positive	StructMAn	Q07817_S0__Q92934_S0__AF1	A	B	BCL2L1_3.B99990009.pdb	BCL2L1_1.B99990017.pdb	50	4.3802	0.8543	1.0	0.6481	32	50	23	4	1	0.8214	66	22	64	0.4342	-20.8494	-33.3565	-12.507099999999998	positive_iso_more_favorable	yes
BCL2L1_2__vs__BCL2L1_1__BMF__Q07817_S0__Q96LC9_S0__AFMM1__A__B	BCL2L1_2__vs__BCL2L1_1	BCL2L1	BCL2L1_2	BCL2L1_1	BMF	negative	positive	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1	A	B	BCL2L1_2.B99990026.pdb	BCL2L1_1.B99990080.pdb	105	23.4672	1.0	1.0	0.7296	27	47	24	1	7	0.75	70	9	58	0.5109	-16.623	-36.0688	-19.445800000000002	positive_iso_more_favorable	yes
BCL2L1_2__vs__BCL2L1_3__BMF__Q07817_S0__Q96LC9_S0__AFMM1__A__B	BCL2L1_2__vs__BCL2L1_3	BCL2L1	BCL2L1_2	BCL2L1_3	BMF	negative	positive	StructMAn	Q07817_S0__Q96LC9_S0__AFMM1	A	B	BCL2L1_2.B99990026.pdb	BCL2L1_3.B99990019.pdb	105	23.8166	0.8543	0.8882	1.0	27	28	24	1	1	0.9231	57	22	25	0.5481	-16.623	-17.4354	-0.8124000000000002	positive_iso_more_favorable	yes
COG7_1__vs__COG7_3__COG5__P83436_S1__Q9UP83_S0__AF__A__B	COG7_1__vs__COG7_3	COG7	COG7_1	COG7_3	COG5	negative	positive	StructMAn	P83436_S1__Q9UP83_S0__AF	A	B	COG7_1.B99990081.pdb	COG7_3.B99990035.pdb	779	17.8652	0.9375	0.2286	1.0	34	33	29	0	1	0.9667	87	8	3	0.8878	-37.2802	-38.4652	-1.1850000000000023	positive_iso_more_favorable	yes
E2F6_3__vs__E2F6_1__TFDP1__Q01094_S0__Q14186_S0__AFMM1__A__B	E2F6_3__vs__E2F6_1	E2F6	E2F6_3	E2F6_1	TFDP1	negative	positive	StructMAn	Q01094_S0__Q14186_S0__AFMM1	A	B	E2F6_3.B99990050.pdb	E2F6_1.B99990047.pdb	347	10.9227	0.8969	1.0	0.9324	131	148	131	10	14	0.8452	434	69	93	0.7282	-110.295	-125.111	-14.816000000000003	positive_iso_more_favorable	yes
E2F6_3__vs__E2F6_1__TFDP2__Q01094_S0__Q14186_S0__AFMM1__A__B	E2F6_3__vs__E2F6_1	E2F6	E2F6_3	E2F6_1	TFDP2	negative	positive	StructMAn	Q01094_S0__Q14186_S0__AFMM1	A	B	E2F6_3.B99990050.pdb	E2F6_1.B99990047.pdb	347	10.9227	0.8969	1.0	0.9324	131	148	131	10	14	0.8452	434	69	93	0.7282	-110.295	-125.111	-14.816000000000003	positive_iso_more_favorable	yes
GNMT_4__vs__GNMT_1__GNMT__3THS__B__A	GNMT_4__vs__GNMT_1	GNMT	GNMT_4	GNMT_1	GNMT	negative	positive	StructMAn	3THS	B	A	GNMT_4.B99990067.pdb	GNMT_1.B99990049.pdb	283	0.4524	0.9934	1.0	0.5119	55	65	60	1	9	0.8571	200	9	34	0.823	-40.1189	-45.4307	-5.311800000000005	positive_iso_more_favorable	yes
GNMT_4__vs__GNMT_3__GNMT__3THS__B__A	GNMT_4__vs__GNMT_3	GNMT	GNMT_4	GNMT_3	GNMT	negative	positive	StructMAn	3THS	B	A	GNMT_4.B99990067.pdb	GNMT_3.B99990026.pdb	283	0.372	0.9934	1.0	0.5471	55	61	57	4	9	0.8143	197	12	35	0.8074	-40.1189	-47.6427	-7.523800000000001	positive_iso_more_favorable	yes
MVK_2__vs__MVK_1__MVK__2R3V__A__B	MVK_2__vs__MVK_1	MVK	MVK_2	MVK_1	MVK	negative	positive	MMseqs2	2R3V	A	B	MVK_2.B99990065.pdb	MVK_1.B99990076.pdb	388	0.2511	1.0	1.0	0.8687	32	31	28	1	2	0.9032	92	4	8	0.8846	-20.5876	-24.5997	-4.0121	positive_iso_more_favorable	yes
MVK_2__vs__MVK_1__MVK__2R3V__B__A	MVK_2__vs__MVK_1	MVK	MVK_2	MVK_1	MVK	negative	positive	MMseqs2	2R3V	B	A	MVK_2.B99990036.pdb	MVK_1.B99990054.pdb	390	0.2456	1.0	1.0	0.8687	29	29	29	2	2	0.8788	85	10	11	0.8019	-21.3592	-25.0934	-3.7341999999999977	positive_iso_more_favorable	yes
MVK_2__vs__MVK_1__MVK__4HAC__A__B	MVK_2__vs__MVK_1	MVK	MVK_2	MVK_1	MVK	negative	positive	StructMAn	4HAC	A	B	MVK_2.B99990096.pdb	MVK_1.B99990021.pdb	308	0.1264	1.0	1.0	0.8687	38	40	33	2	1	0.9167	96	15	16	0.7559	-15.6679	-18.1288	-2.4608999999999988	positive_iso_more_favorable	yes
MVK_2__vs__MVK_1__MVK__4HAC__B__A	MVK_2__vs__MVK_1	MVK	MVK_2	MVK_1	MVK	negative	positive	StructMAn	4HAC	B	A	MVK_2.B99990060.pdb	MVK_1.B99990049.pdb	312	0.4244	1.0	1.0	0.8687	38	35	35	2	1	0.9211	105	12	11	0.8203	-18.5347	-14.6439	3.8908000000000005	negative_iso_more_favorable	no
NPM1_2__vs__NPM1_1__NPM2__P06748_S0__Q86SE8_S0__AFMM1__B__A	NPM1_2__vs__NPM1_1	NPM1	NPM1_2	NPM1_1	NPM2	negative	positive	StructMAn	P06748_S0__Q86SE8_S0__AFMM1	B	A	NPM1_2.B99990003.pdb	NPM1_1.B99990030.pdb	194	4.4494	1.0	0.9014	1.0	65	69	62	3	13	0.7949	184	53	68	0.6033	-16.0822	4.11231	20.19451	negative_iso_more_favorable	no
PPP3CA_2__vs__PPP3CA_1__PPP3R1__4OR9__A__B	PPP3CA_2__vs__PPP3CA_1	PPP3CA	PPP3CA_2	PPP3CA_1	PPP3R1	negative	positive	MMseqs2	4OR9	A	B	PPP3CA_2.B99990004.pdb	PPP3CA_1.B99990028.pdb	166	0.1857	1.0	0.9808	1.0	70	70	81	3	2	0.9419	259	29	16	0.852	-59.1151	-60.9863	-1.8712000000000018	positive_iso_more_favorable	yes
PPP3CA_2__vs__PPP3CA_1__PPP3R1__4ORC__A__B	PPP3CA_2__vs__PPP3CA_1	PPP3CA	PPP3CA_2	PPP3CA_1	PPP3R1	negative	positive	StructMAn	4ORC	A	B	PPP3CA_2.B99990077.pdb	PPP3CA_1.B99990072.pdb	166	0.1587	1.0	0.9808	1.0	71	72	77	10	1	0.875	225	40	25	0.7759	-83.9836	-75.8816	8.10199999999999	negative_iso_more_favorable	no
RXRB_4__vs__RXRB_1__NR1H3__4NQA__A__B	RXRB_4__vs__RXRB_1	RXRB	RXRB_4	RXRB_1	NR1H3	negative	positive	MMseqs2	4NQA	A	B	RXRB_4.B99990011.pdb	RXRB_1.B99990099.pdb	369	0.9841	0.8256	0.9321	0.8499	86	66	70	25	17	0.625	158	76	74	0.513	-29.0797	-18.719	10.360699999999998	negative_iso_more_favorable	no
RXRB_4__vs__RXRB_2__NR1H3__4NQA__A__B	RXRB_4__vs__RXRB_2	RXRB	RXRB_4	RXRB_2	NR1H3	negative	positive	MMseqs2	4NQA	A	B	RXRB_4.B99990011.pdb	RXRB_2.B99990096.pdb	369	1.9487	0.8271	0.9403	0.851	86	78	77	18	14	0.7064	156	78	85	0.489	-29.0797	-17.831	11.2487	negative_iso_more_favorable	no
RXRB_4__vs__RXRB_1__RARA_ORF1__5UAN__A__B	RXRB_4__vs__RXRB_1	RXRB	RXRB_4	RXRB_1	RARA_ORF1	negative	positive	MMseqs2	5UAN	A	B	RXRB_4.B99990057.pdb	RXRB_1.B99990023.pdb	308	0.4328	0.8256	0.9321	0.8499	50	31	34	22	2	0.5862	86	109	8	0.4236	17.8978	-17.3717	-35.2695	positive_iso_more_favorable	yes
RXRB_4__vs__RXRB_2__RARA_ORF1__5UAN__A__B	RXRB_4__vs__RXRB_2	RXRB	RXRB_4	RXRB_2	RARA_ORF1	negative	positive	MMseqs2	5UAN	A	B	RXRB_4.B99990057.pdb	RXRB_2.B99990073.pdb	308	0.3077	0.8271	0.9403	0.851	50	43	38	18	4	0.6333	97	98	12	0.4686	17.8978	-18.9894	-36.8872	positive_iso_more_favorable	yes
RXRB_4__vs__RXRB_1__RARA_ORF2__5UAN__A__B	RXRB_4__vs__RXRB_1	RXRB	RXRB_4	RXRB_1	RARA_ORF2	negative	positive	MMseqs2	5UAN	A	B	RXRB_4.B99990057.pdb	RXRB_1.B99990023.pdb	308	0.4328	0.8256	0.9321	0.8499	50	31	34	22	2	0.5862	86	109	8	0.4236	17.8978	-17.3717	-35.2695	positive_iso_more_favorable	yes
